ééå±âÒêî,éûä‘[sec],à⁄ìÆó [mm],â◊èd[N]
1,0.04,0,-2.98023223876953E-02
1,0.1,0,-3.03983688354492E-02
1,0.16,0,-4.35113906860352E-02
1,0.22,3.33329988643527E-03,-5.36441802978516E-02
1,0.28,7.33325975015759E-02,0.249743461608887
1,0.34,0.166664994321764,2.1815299987793
1,0.4,0.266663990914822,5.53667545318604
1,0.46,0.36666298750788,9.46581363677979
1,0.52,0.466661984100938,13.4444236755371
1,0.58,0.566660980693996,17.242431640625
1,0.64,0.666659977287054,20.9569931030273
1,0.7,0.766658973880112,24.0528583526611
1,0.76,0.86665797047317,27.0402431488037
1,0.82,0.966656967066228,30.2219390869141
1,0.88,1.06665596365929,33.5097312927246
1,0.94,1.16998826013878,36.6711616516113
1,1,1.26998725673184,39.7348403930664
1,1.06,1.3699862533249,42.6077842712402
1,1.12,1.46998524991795,45.2709197998047
1,1.18,1.56998424651101,47.8887557983398
1,1.24,1.66998324310407,50.4064559936523
1,1.3,1.76998223969713,52.7644157409668
1,1.36,1.86998123629019,54.9459457397461
1,1.42,1.96998023288324,56.617259979248
1,1.48,2.0699792294763,58.0215454101563
1,1.54,2.16997822606936,59.4234466552734
1,1.6,2.26997722266242,60.4152679443359
1,1.66,2.37330951914191,60.5201721191406
1,1.72,2.47330851573497,59.5331192016602
1,1.78,2.57330751232803,57.7473640441895
1,1.84,2.67330650892109,55.699348449707
1,1.9,2.77330550551414,53.8897514343262
1,1.96,2.8733045021072,52.4067878723145
1,2.02,2.97330349870026,51.2194633483887
1,2.08,3.07330249529332,50.2347946166992
1,2.14,3.17330149188638,49.4050979614258
1,2.2,3.27330048847944,48.6516952514648
1,2.26,3.37329948507249,48.0055809020996
1,2.32,3.47329848166555,47.4333763122559
1,2.38,3.57663077814505,46.9136238098145
1,2.44,3.6766297747381,46.4177131652832
1,2.5,3.77662877133116,45.9933280944824
1,2.56,3.87662776792422,45.5760955810547
1,2.62,3.97662676451728,45.173168182373
1,2.68,4.07662576111034,44.7916984558105
1,2.74,4.17662475770339,44.4841384887695
1,2.8,4.27662375429645,44.1575050354004
1,2.86,4.37662275088951,43.8523292541504
1,2.92,4.47662174748257,43.5543060302734
1,2.98,4.57662074407563,43.2896614074707
1,3.04,4.67995304055512,43.0488586425781
1,3.1,4.77995203714818,42.8032875061035
1,3.16,4.87995103374124,42.5815582275391
1,3.22,4.97995003033429,42.3645973205566
1,3.28,5.07994902692735,42.1428680419922
1,3.34,5.17994802352041,41.9449806213379
1,3.4,5.27994702011347,41.7447090148926
1,3.46,5.37994601670653,41.5587425231934
1,3.52,5.47994501329958,41.3751602172852
1,3.58,5.57994400989264,41.2225723266602
1,3.64,5.6799430064857,41.050910949707
1,3.7,5.77994200307876,40.8935546875
1,3.76,5.87994099967182,40.7314300537109
1,3.82,5.98327329615131,40.5669212341309
1,3.88,6.08327229274437,40.3714179992676
1,3.94,6.18327128933743,40.1830673217773
1,4,6.28327028593048,40.0495529174805
1,4.06,6.38326928252354,39.8921966552734
1,4.12,6.4832682791166,39.7491455078125
1,4.18,6.58326727570966,39.6275520324707
1,4.24,6.68326627230272,39.5011901855469
1,4.3,6.78326526889578,39.3843650817871
1,4.36,6.88326426548883,39.2723083496094
1,4.42,6.98326326208189,39.1650199890137
1,4.48,7.08659555856138,39.0481948852539
1,4.54,7.18659455515444,38.9575958251953
1,4.6,7.2865935517475,38.8431549072266
1,4.66,7.38659254834056,38.7477874755859
1,4.72,7.48659154493362,38.6500358581543
1,4.78,7.58659054152668,38.5618209838867
1,4.84,7.68658953811973,38.447380065918
1,4.9,7.78658853471279,38.3448600769043
1,4.96,7.88658753130585,38.2590293884277
1,5.02,7.98658652789891,38.1755828857422
1,5.08,8.08658552449197,38.0897521972656
1,5.14,8.18658452108502,38.0229949951172
1,5.2,8.28991681756452,37.9252433776855
1,5.26,8.38991581415758,37.8656387329102
1,5.32,8.48991481075064,37.7845764160156
1,5.38,8.58991380734369,37.682056427002
1,5.44,8.68991280393675,37.6105308532715
1,5.5,8.78991180052981,37.543773651123
1,5.56,8.88991079712287,37.4579429626465
1,5.62,8.98990979371592,37.376880645752
1,5.68,9.08990879030898,37.3172760009766
1,5.74,9.18990778690204,37.2552871704102
1,5.8,9.2899067834951,37.1837615966797
1,5.86,9.38990578008816,37.1026992797852
1,5.92,9.48990477668121,37.0430946350098
1,5.98,9.59323707316071,36.9834899902344
1,6.04,9.69323606975377,36.928653717041
1,6.1,9.79323506634682,36.8595123291016
1,6.16,9.89323406293988,36.778450012207
1,6.22,9.99323305953294,36.7379188537598
1,6.28,10.093232056126,36.5805625915527
1,6.34,10.1932310527191,36.4112854003906
1,6.4,10.2932300493121,36.31591796875
1,6.46,10.3932290459052,36.2515449523926
1,6.52,10.4932280424982,36.1800193786621
1,6.58,10.5965603389777,36.1371040344238
1,6.64,10.6965593355708,36.1037254333496
1,6.7,10.7965583321638,36.0369682312012
1,6.76,10.8965573287569,36.003589630127
1,6.82,10.99655632535,35.9439849853516
1,6.88,11.096555321943,35.8867645263672
1,6.94,11.1965543185361,35.8271598815918
1,7,11.2965533151291,35.7866287231445
1,7.06,11.3965523117222,35.7460975646973
1,7.12,11.4965513083152,35.6912612915039
1,7.18,11.5965503049083,35.6364250183105
1,7.24,11.6965493015014,35.5839729309082
1,7.3,11.7998815979809,35.552978515625
1,7.36,11.8998805945739,35.4957580566406
1,7.42,11.999879591167,35.4480743408203
1,7.48,12.09987858776,35.398006439209
1,7.54,12.1998775843531,35.3622436523438
1,7.6,12.2998765809461,35.3097915649414
1,7.66,12.3998755775392,35.2168083190918
1,7.72,12.4998745741323,35.099983215332
1,7.78,12.5998735707253,34.797191619873
1,7.84,12.6998725673184,34.4538688659668
1,7.9,12.7998715639114,34.2679023742676
1,7.96,12.8998705605045,34.1796875
1,8.02,12.9998695570976,34.1343879699707
1,8.08,13.103201853577,34.0819358825684
1,8.14,13.2032008501701,34.022331237793
1,8.2,13.3031998467632,33.9722633361816
1,8.26,13.4031988433562,33.9174270629883
1,8.32,13.5031978399493,33.8530540466309
1,8.38,13.6031968365423,33.7791442871094
1,8.44,13.7031958331354,33.721923828125
1,8.5,13.8031948297285,33.6718559265137
1,8.56,13.9031938263215,33.6408615112305
1,8.62,14.0031928229146,33.6122512817383
1,8.68,14.1031918195076,33.5907936096191
1,8.74,14.2065241159871,33.5526466369629
1,8.8,14.3065231125802,33.5192680358887
1,8.86,14.4065221091732,33.4811210632324
1,8.92,14.5065211057663,33.4596633911133
1,8.98,14.6065201023594,33.4000587463379
1,9.04,14.7065190989524,33.3786010742188
1,9.1,14.8065180955455,33.3642959594727
1,9.16,14.9065170921385,33.3452224731445
1,9.22,15.0065160887316,33.3237648010254
1,9.28,15.1065150853246,33.2927703857422
1,9.34,15.1231815847568,33.2307815551758
1,9.4,15.1231815847568,33.0138206481934
1,9.46,15.1198482848704,32.7730178833008
1,9.52,15.0531822871417,32.5250625610352
1,9.58,14.9565165904351,32.198429107666
1,9.64,14.856517593842,31.8288803100586
1,9.7,14.7565185972489,31.4569473266602
1,9.76,14.6565196006559,31.1446189880371
1,9.82,14.5565206040628,30.8537483215332
1,9.88,14.4565216074698,30.5628776550293
1,9.94,14.3565226108767,30.2839279174805
1,10,14.2565236142837,30.0335884094238
1,10.06,14.1565246176906,29.8190116882324
1,10.12,14.0565256210975,29.594898223877
1,10.18,13.9565266245045,29.4017791748047
1,10.24,13.8565276279114,29.2038917541504
1,10.3,13.7531953314319,29.0226936340332
1,10.36,13.6531963348389,28.8164615631104
1,10.42,13.5531973382458,28.6149978637695
1,10.48,13.4531983416528,28.4206867218018
1,10.54,13.3531993450597,28.2430648803711
1,10.6,13.2532003484666,28.0559062957764
1,10.66,13.1532013518736,27.8711318969727
1,10.72,13.0532023552805,27.693510055542
1,10.78,12.9532033586875,27.5242328643799
1,10.84,12.8532043620944,27.3537635803223
1,10.9,12.7532053655013,27.2047519683838
1,10.96,12.6532063689083,27.0426273345947
1,11.02,12.5498740724288,26.8709659576416
1,11.08,12.4498750758357,26.7136096954346
1,11.14,12.3498760792427,26.5634059906006
1,11.2,12.2498770826496,26.4191627502441
1,11.26,12.1498780860566,26.2689590454102
1,11.32,12.0498790894635,26.1127948760986
1,11.38,11.9498800928704,25.9733200073242
1,11.44,11.8498810962774,25.8326530456543
1,11.5,11.7498820996843,25.707483291626
1,11.56,11.6498831030913,25.5751609802246
1,11.62,11.5498841064982,25.4344940185547
1,11.68,11.4498851099052,25.2902507781982
1,11.74,11.3465528134257,25.1567363739014
1,11.8,11.2465538168326,25.0208377838135
1,11.86,11.1465548202395,24.8920917510986
1,11.92,11.0465558236465,24.7538089752197
1,11.98,10.9465568270534,24.6226787567139
1,12.04,10.8465578304604,24.4927406311035
1,12.1,10.7465588338673,24.3747234344482
1,12.16,10.6465598372743,24.254322052002
1,12.22,10.5465608406812,24.1422653198242
1,12.28,10.4465618440881,24.0206718444824
1,12.34,10.3465628474951,23.9002704620361
1,12.4,10.246563850902,23.7882137298584
1,12.46,10.1432315544225,23.6809253692627
1,12.52,10.0432325578295,23.5533714294434
1,12.58,9.94323356123641,23.4448909759521
1,12.64,9.84323456464335,23.3209133148193
1,12.7,9.7432355680503,23.2040882110596
1,12.76,9.64323657145724,23.0813026428223
1,12.82,9.54323757486418,22.9501724243164
1,12.88,9.44323857827112,22.8273868560791
1,12.94,9.34323958167806,22.7260589599609
1,13,9.243240585085,22.6140022277832
1,13.06,9.14324158849195,22.4983692169189
1,13.12,9.03990929201245,22.3875045776367
1,13.18,8.9399102954194,22.2694873809814
1,13.24,8.83991129882634,22.1633911132813
1,13.3,8.73991230223328,22.0572948455811
1,13.36,8.63991330564022,21.9237804412842
1,13.42,8.53991430904716,21.8057632446289
1,13.48,8.4399153124541,21.6901302337646
1,13.54,8.33991631586105,21.5744972229004
1,13.6,8.23991731926799,21.4540958404541
1,13.66,8.13991832267493,21.3611125946045
1,13.72,8.03991932608187,21.2526321411133
1,13.78,7.93992032948881,21.1477279663086
1,13.84,7.83658803300932,21.0332870483398
1,13.9,7.73658903641626,20.906925201416
1,13.96,7.63659003982321,20.7912921905518
1,14.02,7.53659104323015,20.6863880157471
1,14.08,7.43659204663709,20.5755233764648
1,14.14,7.33659305004403,20.453929901123
1,14.2,7.23659405345097,20.3335285186768
1,14.26,7.13659505685791,20.2131271362305
1,14.32,7.03659606026486,20.0879573822021
