joint,n,angle_deg,force_mean,force_std
ankle,1,-30,25.139227,0.433279
ankle,1,-15,15.499451,0.522161
ankle,1,15,6.602747,0.291771
ankle,1,30,23.266667,1.455446
ankle,2,-30,25.484615,0.997724
ankle,2,-15,14.144505,0.114899
ankle,2,15,6.10221,0.755274
ankle,2,30,14.68011,0.478472
ankle,3,-30,28.544199,1.665744
ankle,3,-15,16.27033,0.550237
ankle,3,15,6.973077,0.413435
ankle,3,30,19.686667,0.886863
hip,1,-30,14.11105,0.647121
hip,1,-15,5.617582,0.117613
hip,1,30,0.345604,0.157176
hip,1,60,1.982418,0.101474
hip,1,90,6.412637,0.453963
hip,2,-30,13.377901,1.136788
hip,2,-15,4.11044,0.140445
hip,2,30,0.718681,0.109153
hip,2,60,2.105495,0.099015
hip,2,90,7.053297,0.505074
hip,3,-30,8.972527,0.278935
hip,3,-15,5.375824,0.196005
hip,3,30,0.809341,0.121549
hip,3,60,0.934615,0.218128
hip,3,90,10.522527,0.453456
knee,1,45,1.228571,0.093768
knee,1,90,1.0,0.0
knee,1,135,1.208197,0.027507
knee,2,45,0.944505,0.049834
knee,2,90,1.128022,0.045035
knee,2,135,1.342541,0.049578
knee,3,45,0.9,0.0
knee,3,90,1.0,0.0
knee,3,135,1.383516,0.037206
