joint,n,angle_deg,force_mean,force_std
ankle,1,-30,24.912088,0.455254
ankle,1,-15,16.282967,0.439721
ankle,1,15,11.283425,0.488707
ankle,1,30,21.374176,0.450835
ankle,2,-30,24.935359,0.955899
ankle,2,-15,18.386264,0.763663
ankle,2,15,7.790055,1.754426
ankle,2,30,22.903846,1.192859
ankle,3,-30,25.198901,0.485706
ankle,3,-15,16.853039,0.81025
ankle,3,15,5.451648,1.511749
ankle,3,30,23.874725,1.334133
hip,1,-30,10.631868,0.975544
hip,1,-15,4.395028,0.248613
hip,1,30,2.028022,0.097683
hip,1,60,3.522652,0.309274
hip,1,90,13.441209,0.721803
hip,2,-30,16.222527,0.838038
hip,2,-15,5.033702,0.16674
hip,2,30,1.81326,0.08056
hip,2,60,3.016201,0.351905
hip,2,90,13.389011,0.546096
hip,3,-30,10.009945,0.94081
hip,3,-15,4.859669,0.275636
hip,3,30,1.697238,0.152545
hip,3,60,4.509392,0.223781
hip,3,90,11.941758,1.731194
knee,1,45,2.048619,0.086028
knee,1,90,1.91105,0.077384
knee,1,135,1.959116,0.05951
knee,2,45,1.720442,0.063873
knee,2,90,1.868681,0.046507
knee,2,135,2.282967,0.060257
knee,3,45,1.352198,0.067066
knee,3,90,1.510989,0.073508
knee,3,135,1.79011,0.054732
