joint,n,angle_deg,force_mean,force_std
ankle,1,-30,23.440659,0.750024
ankle,1,-15,16.903846,0.365556
ankle,1,15,5.026923,0.286319
ankle,1,30,19.89116,0.900142
ankle,2,-30,23.447253,0.450007
ankle,2,-15,15.556593,0.945612
ankle,2,15,5.806044,0.337879
ankle,2,30,17.159341,0.956626
ankle,3,-30,22.392308,0.818668
ankle,3,-15,17.892857,1.775214
ankle,3,15,4.54011,0.375325
ankle,3,30,16.914917,0.561989
hip,1,-30,14.698352,0.431172
hip,1,-15,6.878453,0.11986
hip,1,30,1.578571,0.118611
hip,1,60,1.811538,0.497317
hip,1,90,7.831319,0.437039
hip,2,-30,12.159341,0.70726
hip,2,-15,5.219231,0.424021
hip,2,30,1.70884,0.051954
hip,2,60,2.132597,0.160168
hip,2,90,10.232418,0.851254
hip,3,-30,7.612088,0.316519
hip,3,-15,4.658889,0.386907
hip,3,30,1.565385,0.073279
hip,3,60,2.676374,0.147697
hip,3,90,7.135165,0.325822
knee,1,45,1.891758,0.085967
knee,1,90,1.543407,0.0497
knee,1,135,1.960989,0.05724
knee,2,45,1.591209,0.076017
knee,2,90,1.431868,0.046725
knee,2,135,2.086813,0.033928
knee,3,45,1.679558,0.04044
knee,3,90,1.68232,0.087668
knee,3,135,1.813812,0.034598
