time_s,dist_mm
0.0,0.0
10.020144876994891,0.23956030163508873
19.98756458099524,0.6100335705456857
30.017279060994042,0.6668541986493391
39.98329301500053,0.6753405632555738
50.016624786003376,0.7729614551533692
59.98457846599922,0.8261145613842779
70.00071872299306,0.9508856304607031
80.03096683799231,1.1173210940858775
89.98970667399408,1.3721604106386165
100.02741972600052,1.4401555768629428
109.99230505099695,1.4041502434348963
120.01916184400034,1.5084342460925062
129.99306846900436,1.5658814259100005
140.00514439800463,1.6091736519764017
149.98197712800174,1.4700082074372551
160.01271159900352,1.5621411711057018
170.03249113500354,1.639103085831734
180.00831803500478,1.6602738200679692
190.01195240799282,1.774316110555685
199.9958970650041,1.8715804649361587
210.02666984600364,1.7564082018150193
219.99352995600202,1.6542860601403155
230.01340352099214,1.8950762289538226
239.99195736199908,2.0912220301275197
250.0055255329935,2.045658165523658
259.99036415599403,2.1228921729294044
270.0129486609949,2.440875351271771
280.03562205999333,2.1226471556947715
290.0065268949984,2.1357157168821996
300.02764722600114,2.460437722895509
310.00257812200283,2.414000907842091
320.02558587200474,2.456903372147898
330.0005142049922,2.428882552237619
340.02225961499795,2.1880980941778487
349.98644326499203,2.3608816375962047
360.0143223049963,2.6098236758320357
370.04007313499466,2.736192216015385
380.01463009399595,2.843120359460817
390.03525381100195,2.810078623537019
399.9994352319918,2.723338898627976
410.02175147000526,2.7665997539852722
420.00396508899576,2.7385873261415483
430.01783339399844,2.6678228601569405
439.9983371510025,2.6757326443041736
450.02290681800514,2.6541632646312645
459.9875933440053,2.4399814047297532
470.015503882998,2.7139215693093393
480.03961448799237,2.722656669589738
490.00086187999113,2.607589334898786
500.02838193699426,2.6213683573609394
509.99873908299196,2.5729937489663506
520.0214004220034,2.7422986316417823
529.9996624089981,2.5420884664625882
540.0125743690005,2.9995154927266396
549.9945218850044,2.586291454853148
560.0078193770023,2.8186557070831086
569.9934754459973,2.7456953114863984
580.0144657569908,3.094606177811158
589.9853059489978,3.0581006331238996
600.0001938429923,3.114892391697965
609.981766152996,3.2827088992909004
619.9945204120013,3.015172581022708
630.0297752649931,3.0286446385399133
639.9994275079953,2.9330568332300784
650.024487527,3.051399047088768
659.992762807,2.8770916536215863
670.0144214500033,3.0939250949917123
679.983151915003,2.9895776219112014
690.0134820599924,2.890434309836051
700.0376041800046,2.9451058914589163
709.999536674004,3.316068820991692
720.0326659370039,3.1971124999255394
729.9967474760051,3.3298205443751616
740.0246015220036,3.308509972057077
750.0018109709927,3.08397213127131
760.0132321690035,3.343872518677183
769.9941166889912,3.0863316381362584
780.021633397002,3.2659558704294764
789.9830041459936,3.2151979817688336
800.0179247679916,3.2910122551288787
810.0195909989998,3.0022779187096433
820.0136055329931,3.210325743586988
830.0355454669916,3.1454942277775806
840.0025597589993,3.0027816058922236
850.025306194002,3.122612402048484
859.9941485809977,3.4702562744447816
870.0177869159961,3.043934878308723
879.9866668350005,3.2201924636559474
890.0218637450015,3.3048344579493505
899.9905737439985,3.4035161762509194
910.0015473069943,3.375434157724838
920.0355020709975,3.6955208299098374
930.0082441389967,3.566021388773608
940.0328629519935,3.5330614847385133
949.9968667479988,3.694511277530097
960.0308801499923,3.6228067444613474
969.9890742360003,3.674243291786823
980.0156863669981,3.484757256896044
989.9864133730007,3.5925260072055636
1000.0175538199983,3.815839439325081
1009.9904443669948,3.65056016898667
1019.9986074439948,3.6828175739271423
1029.9850099680043,3.712288444525532
1040.0082315600011,3.518720219748639
1049.9812237689912,3.8094785876366517
1059.9881941600033,3.506346044302407
1070.028864906999,3.5874115017738837
1079.9977681659948,3.5635627284506195
1090.0217908460036,3.3590210352133454
1099.9957217820047,3.544501524497949
1110.0140210759998,3.347900944170975
1119.986594432994,3.627524002425073
1130.012438049991,3.5181666805838194
1139.9849246770027,3.701800134923895
1149.9995606540033,3.6076415029037774
1159.9812146600016,3.7838995241799407
1170.0032260040025,3.6508912285507344
1180.0236177899933,3.4932186482527032
1189.9918272689974,3.67303248598717
1200.0115157779946,3.7971717458677485
1209.9927334359963,3.7060741913435202
1220.0142911129951,3.769484929307391
1229.9885336659936,3.8273974271638753
1240.003900783995,3.6254802147926024
1250.0345307840034,3.449677326308243
1260.0073140739987,3.815220733337007
1270.0179126619914,3.6942474051783227
1280.0021831049962,4.076009976471101
1290.016320590992,3.9792815653128306
1299.9979200249945,3.6003162550167573
1310.0114515339956,3.8223996737382127
1319.985765506004,3.972743011727186
1330.008092881995,3.676058821932887
1339.987023366004,3.8593968481929415
1350.0028189270088,3.617755668977241
1360.0324459780095,3.872669210829077
1370.001638539994,3.7524089364142403
1380.0205922770112,3.795075996964111
1390.0012334979983,3.905465485801995
1400.0117756939871,3.866503943521641
1409.9971418600035,3.886578352393628
1420.0187317189848,3.608994139752113
1429.985829250989,4.009937651744766
1440.0155874139891,3.9409049277762027
1449.9868452839873,3.881428273463814
1459.9994211399899,3.9566286637721566
1470.0266635959997,3.981263605470356
1480.0033739690116,3.893780915682265
1490.0287705089868,3.9242781343284387
1499.9863487649855,4.37973990967179
1510.0076663140064,3.917064592809128
1519.9901801220112,4.205686690707999
1530.0180564730108,4.119143700960447
1539.9932817400113,3.9689693313327443
1550.0156950369856,4.4544344340463224
1560.037457893006,3.8426841085147796
1570.0106398409844,4.406876287770407
1579.9842939549853,4.132101671730421
1590.0025608420112,4.510519218592072
1600.0170993479987,4.428228123365746
1610.0029550609906,4.209263777350636
1620.0211506539927,4.471140941348772
1629.9979313909864,4.754293998583106
1640.0127950130118,4.505163211824625
1649.9953513179935,4.654138133235214
1660.0062602030084,4.55973412588756
1669.9895506570028,4.687295841015284
1680.0094332439912,4.403996494762976
1690.0337620329956,4.71824683049433
1699.9988498760067,4.62028215417795
1710.027502388999,4.55297390033352
1719.9946347240038,4.637340501530434
1730.0119951829984,4.680742405526745
1739.9953660119936,4.576135383777611
1750.0109730110125,4.677088094370869
1759.9908726219876,4.41814384225914
1770.0148437009918,4.4736513542208
1780.0361033239894,4.4638231955707
1790.0054889379971,4.484304125786545
1800.022170561002,4.711052908187172
1809.9938031940112,4.528921146609272
1819.9808492229931,4.822388960808486
1829.992862297993,4.7762613850563715
1840.0148716510012,4.494695569517076
1849.9924422330075,4.812769173456579
1860.0059436139854,4.4968019755911826
1869.9926744080003,4.585844955701628
1880.0138894980046,4.487197428550511
1889.9888838599875,4.610084910392722
1900.0005699950125,4.357013804967366
1909.9813283480034,4.609339143442296
1920.004080420986,4.595421032777195
1929.9943340819884,4.59865747503764
1939.9833326990042,4.592118631025358
1950.000365983011,4.654308864799926
1959.98480765101,4.473537221613858
1969.99949700899,4.407532311225244
1980.0203582410036,4.531507640722825
1989.9994668520085,4.650509902227148
1999.9830642719899,4.653257914221404
2010.0094973599917,4.829874925054021
2020.0357868900028,4.824346195335886
2029.998606852998,4.617216149032837
2039.9846371660096,4.770705986010007
2049.9940413010045,4.725200343123837
2059.981007620998,4.815188154914731
2070.0042967659974,4.553831116584149
2080.0278703319927,4.738254337254902
2089.9888472739985,4.659124059142071
2100.0314342169877,4.726608983086463
2110.0003345139994,4.730693009736781
2120.01679841899,4.671438898489641
2129.999442958986,4.772323486861139
2140.0222655699913,4.818413342120219
2149.9897655359964,4.787810977413428
2160.013592579009,4.769775619714904
2169.9955885189847,4.913242920149519
2180.019251595004,5.035274885663258
2189.9859218140045,4.915266702726315
2200.0140763569943,4.7465886863819575
2209.984151680008,4.855081313297934
2220.0150060189917,4.953417471008147
2229.989602133006,4.893586548991089
2240.0024611299887,4.839753272039424
2250.0355915329856,4.858924788030758
2259.998837243984,4.81684333634303
2269.982753608012,4.930920677707601
2280.00831626101,4.992111512084501
2290.0274961039977,5.007214965062213
2299.993177496988,4.934101809259688
2310.02697762601,5.041095933207633
2319.994092877998,4.9873851349993625
2330.0247523299913,4.895028437105569
2339.9937059799995,4.932699428910576
2350.0183361169916,5.021467177979517
2359.9938053430087,5.069820164127911
2370.0185947159916,5.176076926961031
2379.9879338059836,5.21749195595736
2390.021245641008,5.086047762121724
2399.9898620220047,5.253547696463741
2410.017260298002,5.133758747914936
2419.9940508979926,5.038492203020493
2430.019866906994,5.325008164792967
2439.989915520986,5.310353790381409
2450.0134372679895,5.235034045999723
2459.988465957009,5.133180953282516
2470.0198546489846,5.190767293349645
2479.9960842380096,5.225437385797677
2490.0125647680106,5.155175951449737
2499.99224924999,5.332816515467366
2510.0103490149922,5.274686923777745
2519.994693692992,5.43392067585562
2530.018120492008,5.291020432964085
2539.984330997002,5.449800290456449
2550.015330615992,5.477113065034457
2559.9920783699927,5.228201364245639
2570.0159349210007,5.398805501593067
2579.9822485470067,5.278850353894516
2590.0016375429846,5.226107445103092
2599.9880250150018,5.314896145013332
2610.0044597009983,5.229864615562785
2619.9861247129884,5.575900295782897
2630.0091441820114,5.255646951737888
2639.9839471400046,5.41008962971514
2650.0006569739926,5.428130462750474
2659.9838576629845,5.217433728069299
2670.0010713839874,5.301304280946658
2679.9820624590066,5.485729213646835
2690.000856579005,5.3791450788027095
2700.0182742540055,5.429741087012402
2710.0009187770047,5.383059242800709
2720.0255417449957,5.280527858871231
2729.9949584499846,5.354816683875796
2740.015332847004,5.521699726282803
2749.9979144339886,5.40215538688491
2760.0196999850014,5.362222593793985
2769.9971142540016,5.575928770992784
2780.008032213009,5.380657133024705
2789.994019438993,5.442822548216076
2800.0098752420017,5.569922994478184
2809.983839626002,5.255412167989055
2820.014742904008,5.380763911430683
2829.9891481259983,5.237446351493306
2840.0045958619885,5.526567564295952
2849.9877413769864,5.585533904079302
2860.0011596809927,5.534625254207224
2869.9837993699916,5.246287836011579
2880.0070323310065,5.357973318839029
2889.9869996459893,5.258443061046271
2900.0151790089876,5.303107996981478
2909.9905480379966,5.472126977267543
2920.020407671007,5.464976748889332
2929.9982224989944,5.479346707175421
2940.0244515359955,5.266153765768065
2950.002820715992,5.393022253147684
2960.0281182849867,5.3246376351253994
2970.0089716540097,5.450998618566776
2979.9853436389967,5.3318861357941545
2990.0119994080014,5.346684355833205
2999.9881958319893,5.405022029053112
3010.012827302984,5.377308698056007
3019.991809379004,5.423015740752913
3030.0164207820053,5.471669605185905
3039.997801295991,5.280456951579686
3050.0203899059993,5.2125954872260385
3059.989651758995,5.4359718427670565
3070.019751272004,5.293564062652792
3080.0464480469964,5.393692135863548
3090.0182729590015,5.320775367572143
3099.9838557400076,5.344048905898386
3110.0196408739866,5.385709307708502
3119.983875625985,5.394255977267723
3130.0194209980114,5.3023208650975935
3139.9927509749978,5.489732583482779
3150.002910649011,5.326603147949615
3159.987074716002,5.3061929381948145
3170.0200079690117,5.414547513154148
3179.9946106069983,5.44499396584517
3190.0202472740057,5.334046787387353
3199.988559896985,5.318144749989254
3210.0161005389964,5.297185697842581
3219.993443836007,5.419129152383707
3230.0084540670073,5.555118364354049
3239.9911344289867,5.472605249088205
3250.016983382011,5.489907332498283
3260.0443570359926,5.489202253336635
3270.008184088001,5.453245302194406
3279.9835180470113,5.5435766379063445
3290.0148194850044,5.596312302070244
3299.9859461870074,5.459765182629989
3310.0127818309847,5.453738266155673
3319.9897234300006,5.502738150313511
3330.0040729890025,5.459599309702166
3339.985753592002,5.526564817707853
3350.0032608370093,5.491424180585467
3359.9872804150077,5.515571672451054
3370.0103749249974,5.4837825277627985
3380.034643370993,5.403788181999501
3390.0024661680077,5.534232828003904
3399.9822345030116,5.577595898582909
3410.0071443469933,5.5242143446947045
3419.9816494789993,5.639060992403516
3430.01212249299,5.553762953007216
3440.0389559980104,5.483025622953155
3450.0019907860114,5.331468876304937
3459.9825851349883,5.510345718706999
3470.00738101099,5.457083043495836
3479.9905950190005,4.992089264287937
3490.0165044169844,5.5523640198738855
3499.9943863900116,5.560209278470849
3510.0163175380003,5.6090202203518675
3519.9872534189926,5.474718615108249
3530.019369914997,5.379640606578597
3539.9954151740094,5.345253013460471
3550.02084228101,5.617489203022751
3559.992865085005,5.356423923015939
3570.0100378320058,5.419400468876197
3579.9853909879894,5.0370950281043125
3590.0139836149906,5.545483208780468
3599.9974946449947,4.952698093888626
3610.009626194995,5.013239339696477
3619.998080047997,5.402825098527148
