file,stem,prefix,sample_type,mode,condition,specimen,speed_mm_min,loop_ok,gap_x0_mm,eps_max,peak_stress_MPa,energy_loss_density_MJ_m3,modulus_MPa,modulus_type
TP_0122_1152.csv,TP_0122_1152,TP,TENDON,compression,B,1,300,True,4.07995906099677,0.23844998830463676,0.3516187473219273,0.011635191772799584,1.7330387441924324,loading_0-0.5eps_at_sigmax
TP_0122_1152.csv,TP_0122_1152,TP,TENDON,compression,B,1,150,True,3.88996096746996,0.24333089170977637,0.33271555997887503,0.012622379316161086,1.6042571231025502,loading_0-0.5eps_at_sigmax
TP_0122_1152.csv,TP_0122_1152,TP,TENDON,compression,B,1,50,True,3.84996136883274,0.2422594738891343,0.30432428632463776,0.011992790620625832,1.4948156163251123,loading_0-0.5eps_at_sigmax
TP_0122_1152.csv,TP_0122_1152,TP,TENDON,compression,B,2,300,True,3.82662826962769,0.2476165629923361,0.33541601531359566,0.011133574791949354,1.5214963446597838,loading_0-0.5eps_at_sigmax
TP_0122_1152.csv,TP_0122_1152,TP,TENDON,compression,B,2,150,True,3.91662736656144,0.24237852031365212,0.3166344701027385,0.011971733981479115,1.5571558152830316,loading_0-0.5eps_at_sigmax
TP_0122_1152.csv,TP_0122_1152,TP,TENDON,compression,B,2,50,True,3.80996177019551,0.24368803098332106,0.291928953054,0.011529803589374207,1.4225681643661832,loading_0-0.5eps_at_sigmax
TP_0122_1152.csv,TP_0122_1152,TP,TENDON,compression,B,3,300,True,4.17662475770339,0.23499764199368606,0.3431281264947385,0.010918472253405491,1.7724135113866901,loading_0-0.5eps_at_sigmax
TP_0122_1152.csv,TP_0122_1152,TP,TENDON,compression,B,3,150,True,3.93996046576649,0.2415451953420432,0.3241032970194911,0.011875507195984042,1.592394791834531,loading_0-0.5eps_at_sigmax
TP_0122_1152.csv,TP_0122_1152,TP,TENDON,compression,B,3,50,True,3.71662937337533,0.24714037729427035,0.29970188530123976,0.011616271678429858,1.4010251655150405,loading_0-0.5eps_at_sigmax
TP_0122_1152.csv,TP_0122_1152,TP,TENDON,compression,A,1,300,True,3.67996307462454,0.25285460567102,0.3436633518763954,0.011232245211219252,1.4486638562799095,loading_0-0.5eps_at_sigmax
TP_0122_1152.csv,TP_0122_1152,TP,TENDON,compression,A,1,150,True,3.54329777928069,0.25594981270842176,0.3249791203712934,0.012178353197769588,1.3656230314152122,loading_0-0.5eps_at_sigmax
TP_0122_1152.csv,TP_0122_1152,TP,TENDON,compression,A,1,50,True,3.48329838132486,0.25535458058584426,0.2995559147426059,0.011808810506666163,1.2814280195299652,loading_0-0.5eps_at_sigmax
TP_0122_1152.csv,TP_0122_1152,TP,TENDON,compression,A,2,300,True,3.72996257292107,0.2509498628787689,0.3627368382045204,0.011842241529132233,1.518883993168809,loading_0-0.5eps_at_sigmax
TP_0122_1152.csv,TP_0122_1152,TP,TENDON,compression,A,2,150,True,3.56663087848574,0.25499744131229857,0.3534920361577245,0.013717865600430597,1.4628844853241962,loading_0-0.5eps_at_sigmax
TP_0122_1152.csv,TP_0122_1152,TP,TENDON,compression,A,2,50,True,3.39329928439111,0.25856883404776393,0.3271200218979196,0.013242402411153438,1.3139519321966122,loading_0-0.5eps_at_sigmax
TP_0122_1152.csv,TP_0122_1152,TP,TENDON,compression,A,3,300,True,4.07995906099677,0.23844998830463676,0.33492944678481756,0.012027909093967521,1.6432383258232206,loading_0-0.5eps_at_sigmax
TP_0122_1152.csv,TP_0122_1152,TP,TENDON,compression,A,3,150,True,4.03995946235955,0.23797380260657675,0.31580730360381504,0.01266971419349822,1.5826420587804053,loading_0-0.5eps_at_sigmax
TP_0122_1152.csv,TP_0122_1152,TP,TENDON,compression,A,3,50,True,3.9499603654258,0.23868808115366782,0.28990969365956887,0.012053723123649145,1.4417558665466623,loading_0-0.5eps_at_sigmax
