time,MA,MC,MD
3.191601,-0.055243,3.231701,-0.013811
3.211701,-0.055243,3.314561,-0.013811
3.231601,-0.055243,3.093591,0.0
3.251601,-0.055243,3.466481,-0.013811
3.271601,-0.055243,3.300751,-0.013811
3.291601,-0.027621,3.480291,-0.013811
3.311601,-0.013811,3.466481,0.0
3.331601,-0.055243,3.107401,-0.027621
3.351601,-0.041432,3.286941,-0.013811
3.371601,-0.055243,2.582601,0.013811
3.391601,-0.041432,3.494101,-0.027621
3.411601,-0.027621,3.093591,-0.013811
3.431601,-0.041432,3.438861,-0.041432
3.451601,-0.041432,3.273131,-0.055243
3.471601,-0.055243,3.148831,-0.013811
3.491601,-0.013811,3.135021,-0.027621
3.511601,-0.013811,3.259321,-0.027621
3.531601,-0.082864,3.355991,-0.013811
3.551601,-0.041432,3.314561,-0.041432
3.571601,-0.096675,3.507911,-0.041432
3.591601,-0.027621,3.549341,-0.027621
3.611601,-0.027621,3.797941,-0.027621
3.631601,-0.069053,3.701261,-0.013811
3.651601,-0.041432,3.521721,0.027621
3.671601,-0.041432,3.922231,-0.027621
3.691601,-0.027621,3.604591,-0.041432
3.711601,-0.027621,3.866991,-0.041432
3.731601,-0.055243,3.880801,-0.013811
3.751601,-0.041432,3.977471,-0.041432
3.771601,-0.096675,4.005101,-0.013811
3.791601,-0.069053,4.115581,-0.013811
3.811601,-0.027621,4.129391,-0.041432
3.831601,-0.027621,3.991291,-0.027621
3.851601,-0.055243,4.488471,-0.027621
3.871601,-0.041432,4.115581,-0.027621
3.891601,-0.041432,4.654201,0.0
3.911601,-0.027621,4.419421,-0.013811
3.931601,0.0,4.944221,-0.027621
3.951601,-0.055243,4.529901,0.013811
3.971601,-0.041432,4.723251,-0.027621
3.991601,-0.069053,4.391801,0.0
4.011601,-0.055243,4.391801,-0.055243
4.031601,0.0,4.847551,-0.013811
4.051601,-0.027621,4.502281,0.0
4.071601,-0.027621,4.640391,-0.013811
4.091601,-0.041432,4.668011,-0.041432
4.111601,-0.027621,4.958031,0.013811
4.131601,-0.013811,4.612771,-0.027621
4.151601,-0.013811,5.220441,0.0
4.171601,-0.055243,4.888981,-0.013811
4.191601,-0.041432,5.054711,0.027621
4.211601,-0.055243,5.165191,-0.013811
4.231601,-0.027621,4.833741,-0.013811
4.251601,0.013811,5.289491,0.013811
4.271601,-0.013811,4.985651,0.013811
4.291601,-0.027621,5.206631,0.0
4.311601,-0.027621,5.137571,0.0
4.331601,0.0,5.344731,0.0
4.351601,0.027621,5.289491,-0.013811
4.371601,-0.027621,5.179001,-0.013811
4.391601,-0.041432,5.538081,-0.013811
4.411601,-0.013811,5.455221,0.0
4.431601,-0.013811,5.510461,-0.013811
4.451601,-0.013811,5.510461,0.0
4.471601,0.0,5.372351,-0.027621
4.491601,-0.027621,5.358541,0.0
4.511601,-0.055243,5.620951,0.0
4.531601,0.0,5.620951,-0.041432
4.551601,0.013811,5.303301,-0.027621
4.571601,0.0,5.869541,-0.027621
4.591601,-0.013811,5.399971,0.0
4.611601,-0.013811,6.118131,0.0
4.631601,-0.027621,5.800481,0.027621
4.651601,0.0,5.869541,-0.027621
4.671601,-0.027621,6.104321,0.0
4.691601,0.0,5.980021,-0.041432
4.711601,0.0,6.352911,0.0
4.731601,-0.027621,6.270051,-0.013811
4.751601,0.027621,6.283861,0.0
4.771601,0.0,5.980021,-0.013811
4.791601,0.055243,6.394341,0.013811
4.811601,-0.013811,6.173371,-0.013811
4.831601,-0.027621,6.684371,0.0
4.851601,-0.013811,6.214811,-0.013811
4.871601,0.013811,6.421971,0.0
4.891601,0.055243,5.980021,0.0
4.911601,-0.013811,6.076701,0.013811
4.931601,0.013811,6.560071,0.0
4.951601,0.013811,5.883351,0.0
4.971601,-0.013811,6.905341,-0.013811
4.991601,0.041432,6.118131,-0.013811
5.011601,0.0,6.587691,-0.013811
5.031601,-0.027621,6.242431,0.041432
5.051601,-0.013811,6.587691,-0.041432
5.071601,-0.027621,6.173371,0.013811
5.091601,0.055243,6.408151,-0.041432
5.111601,0.027621,6.408151,0.041432
5.131601,-0.013811,6.518641,0.0
5.151601,0.013811,6.463401,0.041432
5.171601,0.013811,6.794851,0.0
5.191601,0.041432,6.477211,0.027621
5.211601,0.055243,6.449591,0.013811
5.231601,0.013811,6.463401,0.027621
5.251601,0.0,6.504831,0.013811
5.271601,0.027621,6.629131,-0.013811
5.291601,0.027621,6.863911,0.013811
5.311601,0.069053,6.421971,0.0
5.331601,0.041432,6.408151,0.0
5.351601,0.0,5.814301,-0.013811
5.371601,0.013811,6.173371,0.013811
5.391601,0.041432,6.449591,0.0
5.411601,0.069053,6.477211,0.027621
5.431601,0.041432,6.767231,0.027621
5.451601,0.013811,6.421971,0.027621
5.471601,-0.041432,6.642941,-0.027621
5.491601,0.027621,6.477211,0.013811
5.511601,0.013811,6.753421,0.027621
5.531601,0.0,6.822471,0.027621
5.551601,0.013811,7.140121,0.027621
5.571601,-0.013811,6.946771,0.0
5.591601,0.013811,6.836291,0.0
5.611601,0.041432,7.098691,0.013811
5.631601,0.013811,6.932961,-0.013811
5.651601,0.041432,7.582061,-0.013811
5.671601,-0.027621,6.960581,-0.013811
5.691601,0.027621,7.402521,0.041432
5.711601,0.041432,7.071071,0.0
5.731601,0.027621,7.485391,0.041432
5.751601,0.013811,7.361091,0.027621
5.771601,0.041432,7.609681,0.013811
5.791601,-0.027621,7.761601,0.027621
5.811601,0.041432,7.457771,0.013811
5.831601,0.041432,8.134491,0.013811
5.851601,0.0,7.623491,0.013811
5.871601,0.055243,8.479761,0.041432
5.891601,-0.027621,7.913521,-0.013811
5.911601,0.0,8.548811,0.027621
5.931601,0.013811,7.720171,0.0
5.951601,0.013811,8.355461,0.082864
5.971601,0.041432,8.093061,0.0
5.991601,0.0,8.452141,0.041432
6.011601,0.013811,8.341651,0.041432
6.031601,0.055243,8.051631,0.027621
6.051601,0.013811,8.562621,0.013811
6.071601,0.013811,8.396891,0.013811
6.091601,0.013811,8.935511,-0.013811
6.111601,-0.027621,8.438321,0.041432
6.131601,0.731966,7.554441,-0.041432
6.151601,-0.138107,7.706361,0.069053
6.171601,0.082864,7.664931,0.041432
6.191601,0.138106,7.678741,0.027621
6.211601,0.055243,7.664931,0.027621
6.231601,0.069053,7.664931,0.041432
6.251601,0.055243,7.664931,0.027621
6.271601,0.069053,7.651121,0.041432
6.291601,0.055243,7.651121,0.041432
6.311601,0.069053,7.651121,0.055243
6.331601,0.069053,7.692551,0.013811
6.351601,0.069053,7.664931,0.055243
6.371601,0.069053,7.664931,0.055243
