time,MD,MF
4.399992,9.1584,25.01168
4.419992,9.4096,25.68272
4.439992,9.6384,26.35376
4.459992,9.8752,27.0096
4.479992,10.1264,27.68824
4.500092,10.34,28.344
4.519992,10.592,29.01504
4.539992,10.8128,29.67848
4.559992,11.0648,30.33432
4.579992,11.3008,31.02056
4.599992,11.5296,31.684
4.619992,11.7664,32.33976
4.639992,11.9952,33.01088
4.659992,12.2464,33.67424
4.679992,12.4752,34.34528
4.699992,12.7192,35.01632
4.719992,12.956,35.67976
4.739992,13.192,36.3432
4.759992,13.4288,37.00664
4.779992,13.6728,37.67
4.799992,13.9016,38.34872
4.819992,14.1304,39.01208
4.839992,14.3664,39.66792
4.859992,14.6184,40.33896
4.879992,14.8312,41.01
4.899992,15.0832,41.66576
4.919992,15.312,42.34448
4.939992,15.5408,43.01552
4.959992,15.7848,43.67128
4.979992,16.0136,44.34232
4.999992,16.2576,45.02104
5.019992,16.4936,45.6768
5.039992,16.7376,46.34024
5.059992,16.9744,47.01128
5.079992,17.2104,47.66704
5.099992,17.4472,48.33808
5.119992,17.668,49.00912
5.139992,17.92,49.64968
5.159992,18.1488,50.336
5.179992,18.3928,50.99176
5.199992,18.6136,51.6552
5.219992,18.8352,52.32624
5.239992,19.0864,52.98968
5.259992,19.308,53.66072
5.279992,19.544,54.31648
5.299992,19.788,54.9952
5.319992,20.0248,55.64336
5.339992,20.276,56.322
5.359992,20.4896,56.98544
5.379992,20.7336,57.65648
5.399992,20.9472,58.32752
5.419992,21.1912,58.98336
5.439992,21.4352,59.64672
5.459992,21.664,60.3024
5.479992,21.8928,60.9736
5.499992,22.1368,61.6296
5.519992,22.3888,62.3008
5.539992,22.6176,62.9792
5.559992,22.8384,63.604
5.579992,23.0744,64.2832
5.599992,23.2808,64.9232
5.619992,23.54,65.5792
5.639992,23.7688,66.2584
5.659992,23.9744,66.9064
5.679992,24.2112,67.5464
5.699992,24.2184,67.4936
5.719992,24.2184,67.4936
5.739992,24.2184,67.4936
5.759992,24.2184,67.4936
5.779992,24.2184,67.4936
5.799992,24.2184,67.4936
5.819992,24.2184,67.4936
5.839992,24.2184,67.4936
5.859992,24.2184,67.4936
5.879992,24.2184,67.4936
5.899992,24.2184,67.4936
5.919992,24.2184,67.4936
5.939992,24.2184,67.4936
5.959992,24.2184,67.4936
5.979992,24.2184,67.4936
5.999992,24.2184,67.4936
6.019992,24.2184,67.4936
6.039992,24.2184,67.4936
6.059992,24.2184,67.4936
6.079992,24.2184,67.4936
6.099992,24.2184,67.4936
6.119992,24.2184,67.4936
6.139992,24.2184,67.4936
6.159992,24.2184,67.4936
6.179992,24.2184,67.4936
6.199992,24.2184,67.4936
6.219992,24.2184,67.4936
6.239992,24.2184,67.4936
6.259992,24.2184,67.4936
6.279992,24.2184,67.4936
