time,MA,MC,MD
2.831601,-12.62024,23.77632,0.31264
2.851601,-13.04728,24.36352,0.31264
2.871601,-13.47424,24.9812,0.30496
2.891601,-13.90896,25.64464,0.30496
2.911601,-14.33592,26.26224,0.29736
2.931601,-14.77064,26.95616,0.29736
2.951601,-15.20528,27.53576,0.28976
2.971601,-15.63232,28.2068,0.28976
2.991601,-16.06696,28.84728,0.28208
3.011601,-16.5016,29.48024,0.28208
3.031601,-16.92864,30.05976,0.28208
3.051601,-17.36328,30.7232,0.27448
3.071601,-17.790304,31.3332,0.26688
3.091601,-18.22496,31.95088,0.26688
3.111601,-18.651992,32.57616,0.26688
3.131601,-19.086648,33.17888,0.26688
3.151601,-19.513672,33.80368,0.25928
3.171601,-19.948328,34.38368,0.25928
3.191601,-20.382984,35.04688,0.2516
3.211701,-20.810008,35.62608,0.2516
3.231601,-21.244664,36.35088,0.244
3.251601,-21.671688,36.86928,0.244
3.271601,-22.106344,37.60928,0.2364
3.291601,-22.541,38.15008,0.2364
3.311601,-22.968024,38.84448,0.22872
3.331601,-23.40268,39.56128,0.22872
3.351601,-23.837336,40.18608,0.22112
3.371601,-24.26436,40.94928,0.22112
3.391601,-24.691392,41.45248,0.21352
3.411601,-25.126046,42.16128,0.21352
3.431601,-25.5607,42.75648,0.21352
3.451601,-25.980103,43.41968,0.20584
3.471601,-26.399506,44.03008,0.20584
3.491601,-26.841784,44.72368,0.19824
3.511601,-27.27644,45.33328,0.19824
3.531601,-27.69584,45.98208,0.19064
3.551601,-28.13812,46.61488,0.19064
3.571601,-28.565152,47.20928,0.18296
3.591601,-28.992176,47.86528,0.18296
3.611601,-29.426832,48.46768,0.17536
3.631601,-29.853864,49.12368,0.17536
3.651601,-30.296144,49.77968,0.16776
3.671601,-30.723168,50.37408,0.16776
3.691601,-31.157824,51.03728,0.16008
3.711601,-31.584848,51.64768,0.16008
3.731601,-32.019504,52.30368,0.15248
3.751601,-32.446536,52.89088,0.15248
3.771601,-32.881184,53.56928,0.14488
3.791601,-33.308216,54.15648,0.14488
3.811601,-33.742872,54.81968,0.1372
3.831601,-34.17752,55.45248,0.1372
3.851601,-34.60456,56.03248,0.1296
3.871601,-35.0392,56.69568,0.1296
3.891601,-35.47384,57.25968,0.122
3.911601,-35.90088,57.92368,0.122
3.931601,-36.33552,58.48768,0.11432
3.951601,-36.77016,59.20448,0.11432
3.971601,-37.1972,59.78368,0.10672
3.991601,-37.63184,60.50048,0.09912
4.011601,-38.05888,61.11808,0.09912
4.031601,-38.4936,61.74368,0.09152
4.051601,-38.92824,62.39968,0.09152
4.071601,-39.35528,63.04768,0.08384
4.091601,-39.78992,63.65008,0.08384
4.111601,-40.21696,64.23728,0.07624
4.131601,-40.6516,64.97728,0.07624
4.151601,-41.08624,65.48048,0.06864
4.171601,-41.51328,66.18928,0.06864
4.191601,-41.94792,66.76928,0.06096
4.211601,-42.37496,67.43248,0.06096
4.231601,-42.8096,68.10368,0.05336
4.251601,-43.24424,68.69808,0.05336
4.271601,-43.67128,69.37728,0.05336
4.291601,-44.10592,69.98688,0.04576
4.311601,-44.53296,70.65008,0.04576
4.331601,-44.9676,71.25248,0.03808
4.351601,-45.40992,71.88608,0.03808
4.371601,-45.82928,72.56448,0.03048
4.391601,-46.26392,73.15168,0.03048
4.411601,-46.69864,73.76128,0.02288
4.431601,-47.1256,74.44048,0.02288
4.451601,-47.56032,75.06528,0.02288
4.471601,-47.98728,75.72128,0.0152
4.491601,-48.422,76.39248,0.0076
4.511601,-48.84904,76.94928,0.0076
4.531601,-49.28368,77.61248,0.0
4.551601,-49.71832,78.32128,0.0
4.571601,-50.15296,78.87088,-0.00768
4.591601,-50.5876,79.59488,-0.00768
4.611601,-51.01464,80.09808,-0.01528
4.631601,-51.44168,80.78448,-0.01528
4.651601,-51.88392,81.39488,-0.02288
4.671601,-52.30336,82.02768,-0.02288
4.691601,-52.7456,82.65328,-0.03056
4.711601,-53.17264,83.29328,-0.03056
4.731601,-53.60728,83.86528,-0.03056
