time,MA,MC,MD,MF
2.196947,77.0256,7.35096,-35.42808,24.37112
2.216947,78.0016,7.4196,-35.8932,24.68376
2.236947,78.9016,7.48064,-36.37368,24.96592
2.256947,79.7632,7.5492,-36.8388,25.30144
2.276947,80.7544,7.62552,-37.3116,25.5912
2.296947,81.6848,7.71696,-37.7844,25.90384
2.316947,82.6456,7.74752,-38.24952,26.21648
2.336947,83.6144,7.83136,-38.72992,26.51384
2.356947,84.544,7.93048,-39.19512,26.83416
2.376947,85.5128,7.96104,-39.67552,27.12392
2.396947,86.4128,8.05256,-40.14064,27.43656
2.416947,87.3584,8.1364,-40.61344,27.73392
2.436947,88.296,8.18976,-41.08624,28.06184
2.456947,89.2112,8.27368,-41.55136,28.3592
2.476947,90.1112,8.34992,-42.03176,28.65664
2.496947,91.0264,8.41856,-42.49696,28.96928
2.516947,91.972,8.4948,-42.96968,29.2972
2.536947,92.94,8.55584,-43.44248,29.58696
2.556947,93.8704,8.64728,-43.91528,29.8996
2.576947,94.7776,8.70072,-44.38808,30.20464
2.596947,95.7536,8.77696,-44.8608,30.502
2.616947,96.7296,8.8456,-45.326,30.81464
2.636947,97.6752,8.89136,-45.7988,31.11208
2.656947,98.5752,8.9676,-46.27152,31.42472
2.676947,99.5136,9.06672,-46.74432,31.73736
2.696947,100.4896,9.12008,-47.21712,32.03472
2.716947,101.4352,9.17344,-47.68992,32.33976
2.736947,102.2968,9.26496,-48.16272,32.66
2.756947,103.2272,9.326,-48.62784,32.96504
2.776947,104.2256,9.42512,-49.10064,33.27008
2.796947,105.1488,9.46328,-49.57336,33.58272
2.816947,106.0104,9.54712,-50.04616,33.89536
2.836947,106.956,9.63864,-50.51896,34.19272
2.856947,107.9016,9.692,-50.99176,34.49016
2.876947,108.8928,9.74536,-51.45688,34.8028
2.896947,109.808,9.83688,-51.93728,35.12304
2.916947,110.7608,9.87504,-52.40248,35.42048
2.936947,111.6528,9.97416,-52.87528,35.73312
2.956947,112.568,10.03512,-53.348,36.04576
2.976947,113.5136,10.08088,-53.8208,36.34312
2.996947,114.5128,10.18,-54.2936,36.65576
3.016947,115.3968,10.22576,-54.7664,36.9608
3.036947,116.2592,10.34016,-55.23912,37.27344
3.056947,117.2352,10.4012,-55.70432,37.58608
3.076947,118.2488,10.44696,-56.18472,37.89112
3.096947,119.172,10.54608,-56.64984,38.19616
3.116947,120.0408,10.62992,-57.12264,38.5088
3.136947,120.9712,10.67568,-57.59544,38.80616
