time,MD,MF
4.279992,0.317646,0.524805
4.299992,0.372889,0.510995
4.319992,0.317646,0.538616
4.339992,0.372889,0.593859
4.359992,0.303835,0.538616
4.379992,0.345267,0.566238
4.399992,0.359078,0.580048
4.419992,0.345267,0.60767
4.439992,0.386699,0.676723
4.459992,0.386699,0.635291
4.479992,0.331457,0.593859
4.500092,0.428131,0.718155
4.519992,0.40051,0.718155
4.539992,0.469563,0.704344
4.559992,0.372889,0.676723
4.579992,0.414321,0.60767
4.599992,0.428131,0.704344
4.619992,0.441942,0.731966
4.639992,0.455753,0.773398
4.659992,0.386699,0.731966
4.679992,0.441942,0.718155
4.699992,0.414321,0.718155
4.719992,0.441942,0.759587
4.739992,0.428131,0.801019
4.759992,0.40051,0.745776
4.779992,0.441942,0.773398
4.799992,0.455753,0.773398
4.819992,0.469563,0.787208
4.839992,0.428131,0.856262
4.859992,0.441942,0.82864
4.879992,0.497185,0.81483
4.899992,0.497185,0.925315
4.919992,0.524806,0.842451
4.939992,0.510995,0.856262
4.959992,0.483374,0.82864
4.979992,0.552427,0.82864
4.999992,0.524806,0.842451
5.019992,0.524806,0.897694
5.039992,0.538617,0.897694
5.059992,0.524806,0.82864
5.079992,0.524806,0.925315
5.099992,0.510995,0.994369
5.119992,0.552427,0.966747
5.139992,0.483374,1.077229
5.159992,0.580049,0.911505
5.179992,0.538617,1.008179
5.199992,0.60767,1.035799
5.219992,0.621481,1.021989
5.239992,0.552427,1.008179
5.259992,0.662913,0.994369
5.279992,0.676724,1.063419
5.299992,0.718156,1.063419
5.319992,0.662913,1.091039
5.339992,0.635292,1.077229
5.359992,0.690534,1.049609
5.379992,0.718156,1.021989
5.399992,0.759588,1.104859
5.419992,0.676724,1.160099
5.439992,0.690534,1.118669
5.459992,0.759588,1.160099
5.479992,0.731966,1.187719
5.499992,0.787209,1.298199
5.519992,0.718156,1.270579
5.539992,0.759588,1.242959
5.559992,0.81483,1.394879
5.579992,0.842452,1.408689
5.599992,0.911505,1.450119
5.619992,0.828641,1.422499
5.639992,0.81483,1.367259
5.659992,0.980559,1.546799
5.679992,0.497185,0.082864
5.699992,0.635292,0.759587
5.719992,0.649102,0.690534
5.739992,0.635292,0.704344
5.759992,0.621481,0.690534
5.779992,0.621481,0.718155
5.799992,0.621481,0.690534
5.819992,0.621481,0.718155
5.839992,0.635292,0.690534
5.859992,0.60767,0.718155
5.879992,0.635292,0.690534
5.899992,0.621481,0.718155
5.919992,0.649102,0.731966
5.939992,0.621481,0.704344
5.959992,0.621481,0.718155
5.979992,0.621481,0.676723
5.999992,0.60767,0.718155
6.019992,0.635292,0.704344
6.039992,0.60767,0.704344
6.059992,0.60767,0.704344
6.079992,0.635292,0.690534
6.099992,0.621481,0.676723
6.119992,0.621481,0.718155
6.139992,0.60767,0.704344
6.159992,0.635292,0.704344
6.179992,0.621481,0.676723
6.199992,0.635292,0.690534
6.219992,0.635292,0.704344
6.239992,0.621481,0.704344
6.259992,0.621481,0.718155
6.279992,0.621481,0.690534
6.299992,0.635292,0.704344
6.319992,0.621481,0.718155
6.339992,0.635292,0.718155
6.359992,0.621481,0.718155
6.379992,0.635292,0.676723
6.399992,0.635292,0.745776
6.419992,0.635292,0.690534
6.439992,0.621481,0.731966
6.459992,0.635292,0.704344
6.479992,0.621481,0.704344
6.499992,0.621481,0.704344
6.519992,0.621481,0.676723
6.539992,0.621481,0.718155
6.559992,0.621481,0.704344
6.579992,0.621481,0.718155
6.599992,0.635292,0.718155
6.619992,0.621481,0.704344
6.639992,0.60767,0.718155
6.659992,0.621481,0.662912
6.679992,0.621481,0.690534
6.699992,0.635292,0.704344
6.719992,0.635292,0.718155
6.739992,0.60767,0.718155
6.759992,0.635292,0.690534
6.779992,0.635292,0.704344
6.799992,0.635292,0.704344
6.819992,0.60767,0.731966
6.839992,0.621481,0.676723
6.859992,0.60767,0.704344
6.879992,0.621481,0.718155
6.899992,0.621481,0.704344
6.919992,0.621481,0.690534
6.939992,0.60767,0.704344
6.959992,0.621481,0.676723
6.979992,0.635292,0.704344
6.999992,0.621481,0.690534
