time,MB,MC,MD,ME
2.568459,-0.013811,0.027621,0.303835,0.593859
2.588459,-0.069053,-0.041432,0.276214,0.649102
2.608459,-0.013811,-0.027621,0.248593,0.718155
2.628459,-0.055243,-0.013811,0.290025,0.745777
2.648459,-0.013811,0.013811,0.303835,0.704345
2.668459,-0.041432,-0.013811,0.331457,0.759587
2.688459,-0.027621,0.0,0.303835,0.856262
2.708459,-0.082864,0.013811,0.359078,0.828641
2.728459,0.027621,0.0,0.331457,0.759587
2.748459,-0.055243,0.0,0.359078,0.870073
2.768459,0.013811,-0.027621,0.359078,0.842451
2.788459,-0.027621,0.0,0.345267,0.856262
2.808559,-0.027621,-0.013811,0.414321,0.842451
2.828459,-0.055243,-0.055243,0.386699,0.911505
2.848459,-0.082864,0.013811,0.359078,0.897694
2.868459,0.013811,-0.041432,0.428131,0.939126
2.888459,-0.041432,0.027621,0.414321,0.883883
2.908459,0.0,-0.013811,0.497185,1.00818
2.928459,-0.069053,-0.027621,0.455753,0.952937
2.948459,-0.027621,0.0,0.428131,0.952937
2.968459,-0.055243,0.0,0.469563,0.939126
2.988459,-0.041432,-0.013811,0.441942,0.911505
3.008459,-0.027621,0.0,0.469563,0.925316
3.028459,-0.041432,0.0,0.455753,0.994369
3.048459,-0.013811,0.0,0.483374,1.02199
3.068459,-0.096675,0.0,0.497185,0.939126
3.088559,0.0,-0.027621,0.524806,0.994369
3.108459,-0.069053,0.0,0.538617,0.966748
3.128459,-0.013811,-0.013811,0.566238,1.06342
3.148559,-0.096675,-0.041432,0.59386,0.980558
3.168459,0.0,0.0,0.552427,1.06342
3.188459,-0.041432,0.0,0.580049,1.17391
3.208459,-0.041432,-0.013811,0.580049,1.14629
3.228459,-0.055243,0.027621,0.566238,1.27058
3.248459,-0.041432,-0.027621,0.676724,1.21534
3.268459,-0.013811,0.0,0.676724,1.09104
3.288459,-0.069053,0.027621,0.649102,1.25677
3.308459,0.013811,-0.027621,0.704345,1.32583
3.328459,-0.055243,0.027621,0.745777,1.2982
3.348459,0.0,0.0,0.731966,1.20153
3.368459,-0.013811,-0.013811,0.787209,1.43631
3.388459,-0.041432,0.013811,0.731966,1.62966
3.408459,-0.013811,-0.013811,0.745777,1.40869
3.428459,0.0,0.027621,0.759588,1.36726
3.448459,-0.013811,0.0,0.704345,1.56061
3.468459,-0.041432,0.0,0.773398,1.61585
3.488459,-0.027621,0.027621,0.80102,1.46393
3.508459,-0.041432,0.013811,0.81483,1.5468
3.528459,-0.013811,-0.027621,0.842452,1.58823
3.548559,-0.069053,0.027621,0.939127,1.61585
3.568459,0.0,-0.013811,0.828641,1.57442
3.588459,-0.041432,0.013811,0.81483,1.67109
3.608459,-0.027621,0.0,0.952937,1.67109
3.628459,-0.027621,-0.013811,0.828641,1.78158
3.648459,-0.041432,0.027621,0.925316,1.91968
3.668459,-0.013811,-0.013811,0.939127,1.82301
3.688459,-0.027621,0.013811,0.870073,1.79539
3.708459,0.0,0.013811,0.994369,2.09922
3.728459,-0.055243,0.0,1.021991,2.08541
3.748459,0.013811,-0.013811,0.966748,2.01636
3.768459,-0.069053,0.013811,1.132481,2.03017
3.788459,-0.055243,-0.013811,1.049611,2.08541
3.808459,-0.027621,0.013811,1.021991,2.14066
3.828459,-0.055243,0.041432,1.132481,2.08541
3.848459,-0.027621,-0.013811,1.160101,2.25114
3.868459,-0.082864,0.027621,1.077231,2.15447
3.888459,0.0,0.027621,1.229151,2.05779
3.908559,-0.055243,-0.027621,1.229151,2.23733
3.928459,0.0,0.027621,1.118661,2.32019
3.948459,-0.041432,-0.013811,1.325821,2.22352
3.968559,-0.069053,0.027621,1.242961,2.08541
3.988459,-0.027621,0.027621,1.173911,2.43068
4.008459,-0.013811,-0.013811,1.394881,2.55498
4.028459,-0.041432,0.041432,1.381071,2.43068
4.048459,0.20716,0.331457,0.580049,0.538616
4.068459,-0.138107,-0.055243,0.81483,1.31201
4.088459,0.0,0.124296,0.787209,1.2982
4.108459,-0.013811,0.055243,0.828641,1.28439
4.128459,-0.041432,0.055243,0.81483,1.28439
4.148459,0.0,0.055243,0.80102,1.28439
4.168459,0.013811,0.069053,0.80102,1.28439
4.188459,0.0,0.055243,0.81483,1.28439
4.208459,0.0,0.082864,0.80102,1.28439
4.228459,0.0,0.055243,0.81483,1.28439
4.248459,0.0,0.055243,0.80102,1.2982
4.268459,-0.013811,0.041432,0.828641,1.28439
4.288459,-0.027621,0.055243,0.81483,1.28439
4.308459,-0.013811,0.055243,0.828641,1.2982
4.328459,0.0,0.055243,0.81483,1.28439
4.348459,0.0,0.055243,0.81483,1.28439
4.368459,0.0,0.069053,0.787209,1.28439
4.388459,-0.013811,0.055243,0.80102,1.28439
4.408459,0.0,0.055243,0.80102,1.28439
4.428459,0.0,0.055243,0.81483,1.2982
4.448459,-0.013811,0.069053,0.80102,1.27058
4.468459,0.013811,0.069053,0.787209,1.28439
