time,MA,MC,MD
2.706533,88.0896,-46.035184,14.83192
2.726533,88.7608,-46.462208,14.95352
2.746533,89.4704,-46.88924,15.08312
2.766533,90.2632,-47.323896,15.22072
2.786533,90.98,-47.743296,15.35752
2.806533,91.7352,-48.177952,15.48712
2.826533,92.52,-48.597352,15.58632
2.846533,93.268,-49.0244,15.70872
2.866533,94.0608,-49.45904,15.85352
2.886533,94.8232,-49.88608,15.94472
2.906533,95.624,-50.30544,16.07432
2.926533,96.2872,-50.74016,16.22712
2.946533,97.0496,-51.16712,16.33352
2.966533,97.8048,-51.59416,16.47832
2.986533,98.4608,-52.0212,16.61592
3.006533,99.2536,-52.44824,16.73032
3.026533,99.94,-52.87528,16.82152
3.046533,100.672,-53.30232,16.97432
3.066533,101.3968,-53.72936,17.08152
3.086533,102.0904,-54.15632,17.20312
3.106533,102.9216,-54.58336,17.34072
3.126533,103.6456,-55.0104,17.45512
3.146533,104.34,-55.43744,17.60712
3.166533,105.0112,-55.87208,17.73672
3.186533,105.8496,-56.29912,17.83592
3.206533,106.6352,-56.72616,17.96552
3.226533,107.3824,-57.1532,18.07992
3.246533,108.084,-57.58024,18.18712
3.266533,108.7856,-58.0072,18.29352
3.286533,109.548,-58.43424,18.45352
3.306533,110.3104,-58.86128,18.57592
3.326533,111.096,-59.28832,18.69752
3.346533,111.8056,-59.71536,18.84232
3.366533,112.4992,-60.1424,18.92632
3.386533,113.1928,-60.57704,19.07112
3.406533,114.0472,-60.9964,19.19352
3.426533,114.84,-61.43112,19.31512
3.446533,115.4808,-61.85808,19.43752
3.466533,116.144,-62.23936,19.54392
3.486533,116.5632,-62.45288,19.64312
3.506533,116.5632,-62.26224,19.64312
3.526533,116.5632,-62.38424,19.64312
3.546533,116.5632,-62.32328,19.64312
3.566533,116.5632,-62.33848,19.64312
3.586533,116.5632,-62.34616,19.64312
3.606533,116.5712,-62.33848,19.64312
3.626533,116.5712,-62.33848,19.64312
3.646533,116.5712,-62.33848,19.64312
3.666533,116.5712,-62.33848,19.64312
3.686533,116.5712,-62.33848,19.64312
3.706533,116.5712,-62.33848,19.64312
3.726533,116.5712,-62.33848,19.64312
3.746533,116.5712,-62.33848,19.64312
3.766533,116.5712,-62.33848,19.64312
3.786533,116.5712,-62.33848,19.64312
3.806533,116.5712,-62.33848,19.64312
3.826533,116.5712,-62.33848,19.64312
3.846533,116.5712,-62.33848,19.64312
3.866533,116.5712,-62.33848,19.64312
3.886533,116.5712,-62.33848,19.64312
3.906533,116.5712,-62.33848,19.64312
3.926533,116.5712,-62.33848,19.64312
3.946533,116.5712,-62.33848,19.64312
3.966533,116.5712,-62.33848,19.64312
3.986533,116.5712,-62.33848,19.64312
4.006533,116.5712,-62.33848,19.64312
4.026533,116.5712,-62.33848,19.64312
4.046533,116.5712,-62.33848,19.64312
4.066533,116.5712,-62.33848,19.64312
4.086533,116.5712,-62.33848,19.64312
4.106533,116.5712,-62.33848,19.64312
4.126533,116.5712,-62.33848,19.64312
4.146533,116.5712,-62.33848,19.64312
4.166533,116.5712,-62.33848,19.64312
4.186533,116.5712,-62.33848,19.64312
4.206533,116.5792,-62.33848,19.64312
4.226533,116.5792,-62.33848,19.64312
4.246533,116.5792,-62.33848,19.64312
4.266533,116.5792,-62.33848,19.64312
4.286533,116.5792,-62.33848,19.64312
4.306533,116.5792,-62.33848,19.64312
4.326533,116.5792,-62.33848,19.64312
4.346533,116.5792,-62.33848,19.64312
4.366533,116.5792,-62.33848,19.64312
4.386533,116.5792,-62.33848,19.64312
4.406533,116.5792,-62.33848,19.64312
4.426533,116.5792,-62.33848,19.64312
4.446533,116.5792,-62.33848,19.64312
4.466533,116.5792,-62.33848,19.64312
4.486533,116.5792,-62.33848,19.64312
4.506533,116.5792,-62.33848,19.64312
4.526533,116.5792,-62.33848,19.64312
4.546533,116.5792,-62.33848,19.64312
4.566533,116.5792,-62.33848,19.64312
4.586533,116.5792,-62.33848,19.64312
4.606533,116.5792,-62.33848,19.64312
4.626533,116.5792,-62.33848,19.64312
4.646533,116.5792,-62.33848,19.64312
4.666533,116.5792,-62.33848,19.64312
4.686533,116.5792,-62.33848,19.64312
4.706533,116.5792,-62.33848,19.64312
4.726533,116.5792,-62.33848,19.64312
4.746533,116.5792,-62.33848,19.64312
4.766533,116.5792,-62.33848,19.64312
4.786533,116.5792,-62.33848,19.64312
4.806533,116.5792,-62.33848,19.64312
4.826533,116.5792,-62.33848,19.64312
4.846533,116.5792,-62.33848,19.64312
4.866533,116.5792,-62.33848,19.64312
4.886533,116.5792,-62.33848,19.64312
4.906533,116.5792,-62.33848,19.64312
4.926533,116.5792,-62.33848,19.64312
4.946533,116.5864,-62.33848,19.64312
4.966533,116.5864,-62.33848,19.64312
4.986533,116.5864,-62.33848,19.64312
5.006533,116.5864,-62.33848,19.64312
5.026533,116.5864,-62.33848,19.64312
5.046533,116.5864,-62.33848,19.64312
5.066533,116.5864,-62.33848,19.64312
5.086533,116.5864,-62.33848,19.64312
5.106533,116.5864,-62.33848,19.64312
5.126533,116.5864,-62.33848,19.64312
5.146533,116.5864,-62.33848,19.64312
5.166533,116.5944,-62.33848,19.64312
5.186533,116.5944,-62.33848,19.64312
5.206533,116.5944,-62.33848,19.64312
5.226533,116.5944,-62.33848,19.64312
5.246533,116.5944,-62.33848,19.64312
5.266533,116.5944,-62.33848,19.64312
5.286533,116.5944,-62.33848,19.64312
5.306533,116.5944,-62.33848,19.64312
5.326533,116.5944,-62.33848,19.64312
5.346533,116.5944,-62.33848,19.64312
5.366533,116.6016,-62.33848,19.64312
5.386533,116.6016,-62.33848,19.64312
5.406533,116.6016,-62.33848,19.64312
5.426533,116.6016,-62.33848,19.64312
5.446533,116.6016,-62.33848,19.64312
5.466533,116.6016,-62.33848,19.64312
5.486533,116.5944,-62.16312,19.64312
5.506533,116.5792,-61.69032,19.64312
5.526533,116.2664,-61.4692,19.62792
5.546533,115.7632,-61.1032,19.55912
5.566533,115.2064,-60.79056,19.45992
5.586533,114.688,-60.48552,19.37672
5.606533,114.0704,-60.1424,19.28472
5.626533,113.544,-59.83736,19.20072
5.646533,112.972,-59.50944,19.10152
5.666533,112.4304,-59.18152,19.01832
5.686533,111.8584,-58.86888,18.93432
5.706533,111.3096,-58.54104,18.81992
5.726533,110.7456,-58.2284,18.74312
5.746533,110.1888,-57.90808,18.64472
5.766533,109.632,-57.58784,18.55272
