time,MA,MC,MD
3.066533,5.84192,-0.041432,1.422501
3.086533,5.98002,-0.041432,1.367261
3.106533,5.75905,-0.069053,1.312011
3.126533,5.93859,-0.069053,1.408691
3.146533,6.09051,-0.055243,1.312011
3.166533,6.49102,-0.041432,1.270581
3.186533,5.91097,-0.055243,1.436311
3.206533,5.8143,-0.096675,1.408691
3.226533,5.99383,-0.110485,1.408691
3.246533,6.13194,-0.055243,1.532981
3.266533,6.29767,-0.041432,1.560611
3.286533,6.25624,-0.041432,1.422501
3.306533,6.25624,-0.069053,1.532981
3.326533,6.09051,-0.096675,1.477741
3.346533,6.38053,-0.027621,1.477741
3.366533,6.49102,-0.041432,1.629661
3.386533,6.79485,-0.041432,1.519171
3.406533,6.25624,-0.082864,1.546801
3.426533,6.24243,-0.082864,1.629661
3.446533,6.80866,-0.055243,1.629661
3.466533,6.57388,-0.027621,1.629661
3.486533,5.85573,0.276214,1.381071
3.506533,5.84192,-0.317646,1.367261
3.526533,5.85573,0.220971,1.394881
3.546533,5.85573,-0.096675,1.381071
3.566533,5.85573,0.041432,1.381071
3.586533,5.85573,-0.013811,1.381071
3.606533,5.86954,0.0,1.381071
3.626533,5.84192,0.0,1.367261
3.646533,5.84192,-0.013811,1.394881
3.666533,5.85573,-0.013811,1.381071
3.686533,5.85573,-0.013811,1.381071
3.706533,5.84192,-0.013811,1.381071
3.726533,5.85573,0.0,1.394881
3.746533,5.85573,-0.013811,1.381071
3.766533,5.82811,-0.013811,1.381071
3.786533,5.84192,0.0,1.381071
3.806533,5.82811,-0.013811,1.381071
3.826533,5.82811,-0.013811,1.394881
3.846533,5.82811,-0.013811,1.381071
3.866533,5.8143,0.0,1.394881
3.886533,5.85573,-0.013811,1.381071
3.906533,5.84192,-0.013811,1.381071
3.926533,5.82811,-0.013811,1.381071
3.946533,5.82811,0.0,1.394881
3.966533,5.82811,0.013811,1.381071
3.986533,5.82811,-0.013811,1.381071
4.006533,5.84192,-0.013811,1.381071
4.026533,5.82811,0.0,1.367261
4.046533,5.84192,-0.013811,1.353451
4.066533,5.82811,-0.013811,1.381071
4.086533,5.84192,-0.013811,1.381071
4.106533,5.82811,-0.013811,1.367261
4.126533,5.8143,0.0,1.381071
4.146533,5.85573,-0.013811,1.367261
4.166533,5.82811,0.0,1.381071
4.186533,5.84192,-0.013811,1.381071
4.206533,5.82811,-0.013811,1.381071
4.226533,5.85573,-0.013811,1.367261
4.246533,5.82811,-0.013811,1.381071
4.266533,5.80049,-0.013811,1.367261
4.286533,5.80049,0.0,1.367261
4.306533,5.84192,-0.013811,1.394881
4.326533,5.8143,0.0,1.381071
4.346533,5.80049,-0.013811,1.381071
4.366533,5.82811,0.0,1.367261
4.386533,5.80049,-0.013811,1.381071
4.406533,5.8143,-0.013811,1.381071
4.426533,5.8143,-0.013811,1.381071
4.446533,5.80049,-0.013811,1.381071
4.466533,5.82811,-0.013811,1.353451
4.486533,5.8143,-0.013811,1.381071
4.506533,5.80049,-0.013811,1.367261
4.526533,5.8143,0.0,1.367261
4.546533,5.78667,-0.013811,1.367261
4.566533,5.80049,-0.013811,1.367261
4.586533,5.80049,-0.013811,1.381071
4.606533,5.8143,0.0,1.367261
4.626533,5.80049,-0.013811,1.367261
4.646533,5.78667,0.0,1.381071
