cycle,step_index,angle_deg,measured,force_mean,force_std,n_samples,t_measure_start_unix,t_measure_end_unix
1,0,0,False,,,,,
1,1,30,True,3.800000,0.157326,182,1770961620.357794,1770961622.363104
1,2,60,True,6.081768,0.342619,181,1770961625.464366,1770961627.466179
1,3,90,True,10.953297,0.388602,182,1770961630.567352,1770961632.571989
1,4,0,False,,,,,
1,5,-15,True,8.575824,0.499578,182,1770961640.728883,1770961642.737284
1,6,-30,True,11.874725,0.228419,182,1770961645.838629,1770961647.847111
5,0,0,False,,,,,
5,1,30,True,3.395028,0.125289,181,1770961662.497266,1770961664.503044
5,2,60,True,5.698895,0.219846,181,1770961667.604463,1770961669.605230
5,3,90,True,9.145604,0.402695,182,1770961672.706270,1770961674.711447
5,4,0,False,,,,,
5,5,-15,True,9.712155,0.305444,181,1770961682.868953,1770961684.870078
5,6,-30,True,12.268681,0.397586,182,1770961687.971103,1770961689.977210
10,0,0,False,,,,,
10,1,30,True,3.016484,0.170967,182,1770961716.260691,1770961718.269120
10,2,60,True,5.376796,0.157454,181,1770961721.370263,1770961723.375571
10,3,90,True,11.054945,0.524065,182,1770961726.476908,1770961728.483914
10,4,0,False,,,,,
10,5,-15,True,9.449451,0.628050,182,1770961736.636559,1770961738.645657
10,6,-30,True,13.800549,0.695486,182,1770961741.747037,1770961743.756969
15,0,0,False,,,,,
15,1,30,True,2.656593,0.212939,182,1770961757.958455,1770961759.964766
15,2,60,True,5.671978,1.635192,182,1770961763.066202,1770961765.073833
15,3,90,True,11.707692,1.126156,182,1770961768.175150,1770961770.182331
15,4,0,False,,,,,
15,5,-15,True,5.941758,0.541242,182,1770961778.339792,1770961780.344747
15,6,-30,True,10.123077,0.532497,182,1770961783.445796,1770961785.451005
20,0,0,False,,,,,
20,1,30,True,2.722527,0.179589,182,1770961804.576743,1770961806.583380
20,2,60,True,4.716575,0.110812,181,1770961809.684817,1770961811.695382
20,3,90,True,11.363187,0.262829,182,1770961814.796800,1770961816.806592
20,4,0,False,,,,,
20,5,-15,True,6.820556,0.232955,180,1770961824.963824,1770961826.965390
20,6,-30,True,11.242541,0.708608,181,1770961830.066814,1770961832.070647
40,0,0,False,,,,,
40,1,30,True,2.638462,0.106961,182,1770961853.777149,1770961855.784233
40,2,60,True,5.001657,0.275172,181,1770961858.885668,1770961860.887041
40,3,90,True,10.879670,0.490995,182,1770961863.988506,1770961865.991225
40,4,0,False,,,,,
40,5,-15,True,7.309890,0.536111,182,1770961874.148776,1770961876.157231
40,6,-30,True,13.528729,0.310113,181,1770961879.258352,1770961881.261309
60,0,0,False,,,,,
60,1,30,True,2.637912,0.120963,182,1770961903.499846,1770961905.506079
60,2,60,True,5.396154,0.359767,182,1770961908.607602,1770961910.613002
60,3,90,True,9.685635,0.328148,181,1770961913.714170,1770961915.714408
60,4,0,False,,,,,
60,5,-15,True,6.859890,0.408590,182,1770961923.871340,1770961925.877263
60,6,-30,True,12.072527,1.077347,182,1770961928.978107,1770961930.984394
80,0,0,False,,,,,
80,1,30,True,2.503315,0.104297,181,1770961956.124698,1770961958.125080
80,2,60,True,5.254945,0.219121,182,1770961961.226698,1770961963.235024
80,3,90,True,11.049171,0.335761,181,1770961966.336549,1770961968.341417
80,4,0,False,,,,,
80,5,-15,True,6.348619,0.185774,181,1770961976.496521,1770961978.504106
80,6,-30,True,13.943956,0.366319,182,1770961981.605292,1770961983.612166
100,0,0,False,,,,,
100,1,30,True,2.537912,0.188164,182,1770962000.834428,1770962002.841073
100,2,60,True,5.047802,0.324285,182,1770962005.942340,1770962007.952232
100,3,90,True,10.522099,0.282760,181,1770962011.053744,1770962013.056118
100,4,0,False,,,,,
100,5,-15,True,7.257143,0.205796,182,1770962021.213394,1770962023.220805
100,6,-30,True,11.244751,0.434278,181,1770962026.321985,1770962028.323943
200,0,0,False,,,,,
200,1,30,True,2.465385,0.063591,182,1770962111.251782,1770962113.259303
200,2,60,True,5.729670,0.267170,182,1770962116.360763,1770962118.369932
200,3,90,True,10.740110,0.437832,182,1770962121.471391,1770962123.479511
200,4,0,False,,,,,
200,5,-15,True,7.110440,0.430919,182,1770962131.636483,1770962133.644759
200,6,-30,True,11.987912,0.765172,182,1770962136.745875,1770962138.747304
400,0,0,False,,,,,
400,1,30,True,2.354945,0.059023,182,1770962237.105365,1770962239.112031
400,2,60,True,4.402747,0.163670,182,1770962242.213787,1770962244.219276
400,3,90,True,8.807735,0.847510,181,1770962247.320443,1770962249.328809
400,4,0,False,,,,,
400,5,-15,True,5.232418,0.189193,182,1770962257.486194,1770962259.495240
400,6,-30,True,11.604396,0.736186,182,1770962262.596761,1770962264.606709
