cycle,step_index,angle_deg,measured,force_mean,force_std,n_samples,t_measure_start_unix,t_measure_end_unix
600,0,0,False,,,,,
600,1,30,True,1.790659,0.116915,182,1770962374.708569,1770962376.715232
600,2,60,True,4.451934,0.212548,181,1770962379.816573,1770962381.823106
600,3,90,True,7.904396,0.200503,182,1770962384.924297,1770962386.931401
600,4,0,False,,,,,
600,5,-15,True,6.996154,0.350432,182,1770962395.088577,1770962397.091472
600,6,-30,True,10.515385,0.304087,182,1770962400.193062,1770962402.201211
800,0,0,False,,,,,
800,1,30,True,1.845304,0.130139,181,1770962559.956550,1770962561.956758
800,2,60,True,3.628571,0.295373,182,1770962565.057887,1770962567.068367
800,3,90,True,8.569613,0.613292,181,1770962570.169713,1770962572.173273
800,4,0,False,,,,,
800,5,-15,True,5.754945,0.197086,182,1770962580.329839,1770962582.339919
800,6,-30,True,8.713260,0.315420,181,1770962585.441008,1770962587.443888
999,0,0,False,,,,,
999,1,30,True,1.953297,0.085172,182,1770962689.235805,1770962691.244509
999,2,60,True,3.680220,0.195654,182,1770962694.345476,1770962696.347785
999,3,90,True,10.029121,0.343171,182,1770962699.448714,1770962701.457190
999,4,0,False,,,,,
999,5,-15,True,8.497790,0.190016,181,1770962709.614319,1770962711.625229
999,6,-30,True,11.348352,0.319655,182,1770962714.726545,1770962716.736254
