cycle,step_index,angle_deg,measured,force_mean,force_std,n_samples,t_measure_start_unix,t_measure_end_unix
1,0,0,False,,,,,
1,1,30,True,3.132967,0.107770,182,1770960119.565915,1770960121.575964
1,2,60,True,6.529834,0.209747,181,1770960124.677474,1770960126.679655
1,3,90,True,11.590608,0.204858,181,1770960129.780832,1770960131.790759
1,4,0,False,,,,,
1,5,-15,True,11.013736,0.734229,182,1770960139.948017,1770960141.955223
1,6,-30,True,11.478571,0.244796,182,1770960145.056073,1770960147.065142
5,0,0,False,,,,,
5,1,30,True,3.060773,0.077871,181,1770960162.684521,1770960164.685038
5,2,60,True,5.397238,0.137207,181,1770960167.786456,1770960169.791557
5,3,90,True,10.180663,0.233361,181,1770960172.893003,1770960174.897224
5,4,0,False,,,,,
5,5,-15,True,4.655495,0.173516,182,1770960183.053598,1770960185.058100
5,6,-30,True,13.254396,0.322040,182,1770960188.159202,1770960190.167963
10,0,0,False,,,,,
10,1,30,True,2.419780,0.081043,182,1770960204.807894,1770960206.810018
10,2,60,True,4.785635,0.162663,181,1770960209.911428,1770960211.914279
10,3,90,True,10.403315,0.376076,181,1770960215.015784,1770960217.016676
10,4,0,False,,,,,
10,5,-15,True,9.696133,0.370190,181,1770960225.173950,1770960227.177719
10,6,-30,True,14.975824,0.750667,182,1770960230.279333,1770960232.289771
15,0,0,False,,,,,
15,1,30,True,3.101099,0.080735,182,1770960249.112938,1770960251.116233
15,2,60,True,4.987912,0.274047,182,1770960254.217864,1770960256.228175
15,3,90,True,11.156906,0.133414,181,1770960259.329777,1770960261.331756
15,4,0,False,,,,,
15,5,-15,True,5.035359,0.406979,181,1770960269.488673,1770960271.496471
15,6,-30,True,10.919337,0.544173,181,1770960274.597861,1770960276.601226
20,0,0,False,,,,,
20,1,30,True,2.916575,0.085319,181,1770960293.014833,1770960295.018493
20,2,60,True,4.792818,0.143772,181,1770960298.120249,1770960300.129707
20,3,90,True,9.734615,0.539244,182,1770960303.230925,1770960305.237132
20,4,0,False,,,,,
20,5,-15,True,6.002210,0.467256,181,1770960313.393609,1770960315.400364
20,6,-30,True,10.160989,1.162378,182,1770960318.501582,1770960320.509899
40,0,0,False,,,,,
40,1,30,True,2.529670,0.136244,182,1770960341.796349,1770960343.803154
40,2,60,True,4.923077,0.165257,182,1770960346.904539,1770960348.913309
40,3,90,True,9.314835,0.142394,182,1770960352.014652,1770960354.024131
40,4,0,False,,,,,
40,5,-15,True,8.126374,0.358121,182,1770960362.181606,1770960364.185301
40,6,-30,True,12.686264,0.119290,182,1770960367.286666,1770960369.292483
60,0,0,False,,,,,
60,1,30,True,2.885714,0.109314,182,1770960391.312780,1770960393.320522
60,2,60,True,5.351648,0.290499,182,1770960396.421776,1770960398.432807
60,3,90,True,8.540884,0.132024,181,1770960401.533911,1770960403.534323
60,4,0,False,,,,,
60,5,-15,True,5.390659,0.260833,182,1770960411.691804,1770960413.701997
60,6,-30,True,12.054144,0.853911,181,1770960416.803374,1770960418.805614
80,0,0,False,,,,,
80,1,30,True,2.881768,0.088501,181,1770960439.249588,1770960441.250037
80,2,60,True,5.615470,0.155932,181,1770960444.351178,1770960446.352955
80,3,90,True,9.774725,0.140318,182,1770960449.453862,1770960451.457245
80,4,0,False,,,,,
80,5,-15,True,6.485083,0.517739,181,1770960459.613823,1770960461.615227
80,6,-30,True,10.251648,0.397885,182,1770960464.716525,1770960466.722404
100,0,0,False,,,,,
100,1,30,True,2.323626,0.215535,182,1770960492.676180,1770960494.683099
100,2,60,True,5.520556,0.151601,180,1770960497.784866,1770960499.791368
100,3,90,True,9.671429,0.556883,182,1770960502.892696,1770960504.898758
100,4,0,False,,,,,
100,5,-15,True,8.044505,0.344727,182,1770960513.056026,1770960515.060214
100,6,-30,True,12.330220,0.291915,182,1770960518.161262,1770960520.171862
200,0,0,False,,,,,
200,1,30,True,2.366484,0.143853,182,1770960598.718471,1770960600.723012
200,2,60,True,5.313812,0.228953,181,1770960603.824025,1770960605.832841
200,3,90,True,10.365934,0.470857,182,1770960608.933753,1770960610.942510
200,4,0,False,,,,,
200,5,-15,True,6.404396,0.133307,182,1770960619.099397,1770960621.110726
200,6,-30,True,10.089560,0.361933,182,1770960624.212122,1770960626.220484
400,0,0,False,,,,,
400,1,30,True,2.126923,0.092780,182,1770960747.015001,1770960749.018684
400,2,60,True,5.695580,0.359138,181,1770960752.119917,1770960754.120360
400,3,90,True,10.602747,0.283707,182,1770960757.221429,1770960759.230704
400,4,0,False,,,,,
400,5,-15,True,6.221978,0.164066,182,1770960767.388125,1770960769.398761
400,6,-30,True,11.729670,0.383354,182,1770960772.500310,1770960774.509452
600,0,0,False,,,,,
600,1,30,True,2.096154,0.155690,182,1770960881.698403,1770960883.703798
600,2,60,True,4.265385,0.101151,182,1770960886.805650,1770960888.807251
600,3,90,True,10.048352,0.327172,182,1770960891.908414,1770960893.915126
600,4,0,False,,,,,
600,5,-15,True,6.748901,0.359671,182,1770960902.072561,1770960904.076082
600,6,-30,True,10.104945,0.748721,182,1770960907.177616,1770960909.186979
800,0,0,False,,,,,
800,1,30,True,2.256354,0.102881,181,1770961054.907796,1770961056.909554
800,2,60,True,5.181215,0.173464,181,1770961060.010813,1770961062.013134
800,3,90,True,10.198901,0.358633,182,1770961065.114115,1770961067.122487
800,4,0,False,,,,,
800,5,-15,True,6.358011,0.279691,181,1770961075.279789,1770961077.280334
800,6,-30,True,10.525275,0.554060,182,1770961080.381647,1770961082.386610
999,0,0,False,,,,,
999,1,30,True,2.128022,0.157099,182,1770961175.006775,1770961177.011817
999,2,60,True,4.631868,0.102326,182,1770961180.113532,1770961182.119410
999,3,90,True,9.212088,0.437303,182,1770961185.220706,1770961187.226003
999,4,0,False,,,,,
999,5,-15,True,6.559669,0.407128,181,1770961195.382700,1770961197.383650
999,6,-30,True,10.118132,0.515881,182,1770961200.485143,1770961202.491870
