cycle,step_index,angle_deg,measured,force_mean,force_std,n_samples,t_measure_start_unix,t_measure_end_unix
1,0,0,False,,,,,
1,1,45,True,2.964641,0.119110,181,1770992831.136690,1770992833.139687
1,2,90,True,2.276796,0.160944,181,1770992836.241243,1770992838.250840
1,3,135,True,2.066298,0.053976,181,1770992841.352324,1770992843.358740
5,0,0,False,,,,,
5,1,45,True,2.503315,0.139005,181,1770992864.624326,1770992866.630084
5,2,90,True,2.594505,0.163093,182,1770992869.731622,1770992871.740711
5,3,135,True,2.425824,0.084377,182,1770992874.841749,1770992876.851530
10,0,0,False,,,,,
10,1,45,True,2.029282,0.159074,181,1770992900.680347,1770992902.682746
10,2,90,True,1.723077,0.087415,182,1770992905.784074,1770992907.795181
10,3,135,True,2.019780,0.059871,182,1770992910.896536,1770992912.907465
15,0,0,False,,,,,
15,1,45,True,1.720330,0.053330,182,1770992929.917301,1770992931.923368
15,2,90,True,1.867033,0.134250,182,1770992935.024626,1770992937.032799
15,3,135,True,2.354945,0.073977,182,1770992940.133608,1770992942.143889
20,0,0,False,,,,,
20,1,45,True,2.172527,0.044761,182,1770992959.271462,1770992961.278587
20,2,90,True,1.908791,0.103153,182,1770992964.379996,1770992966.380738
20,3,135,True,2.042541,0.049578,181,1770992969.481917,1770992971.487611
40,0,0,False,,,,,
40,1,45,True,1.559890,0.052411,182,1770993001.304679,1770993003.312328
40,2,90,True,1.671271,0.103564,181,1770993006.413924,1770993008.423145
40,3,135,True,1.856044,0.061669,182,1770993011.524489,1770993013.530966
60,0,0,False,,,,,
60,1,45,True,1.819890,0.040028,181,1770993039.403044,1770993041.404654
60,2,90,True,1.789503,0.057255,181,1770993044.506252,1770993046.509372
60,3,135,True,2.239011,0.048912,182,1770993049.610748,1770993051.618557
80,0,0,False,,,,,
80,1,45,True,2.125275,0.096449,182,1770993077.427277,1770993079.436353
80,2,90,True,1.174176,0.073154,182,1770993082.537923,1770993084.545975
80,3,135,True,1.658011,0.049491,181,1770993087.647019,1770993089.649316
100,0,0,False,,,,,
100,1,45,True,1.592308,0.039974,182,1770993107.329639,1770993109.333920
100,2,90,True,1.654945,0.111508,182,1770993112.434988,1770993114.440266
100,3,135,True,2.008840,0.046300,181,1770993117.541459,1770993119.548536
200,0,0,False,,,,,
200,1,45,True,1.579121,0.040757,182,1770993245.648872,1770993247.653992
200,2,90,True,1.664286,0.048048,182,1770993250.755808,1770993252.764090
200,3,135,True,1.619231,0.039520,182,1770993255.865025,1770993257.870070
400,0,0,False,,,,,
400,1,45,True,1.438462,0.048785,182,1770993406.429070,1770993408.432080
400,2,90,True,1.165193,0.088529,181,1770993411.533540,1770993413.541138
400,3,135,True,2.212707,0.078201,181,1770993416.642394,1770993418.652673
600,0,0,False,,,,,
600,1,45,True,1.165385,0.052133,182,1770993560.581927,1770993562.590840
600,2,90,True,1.334066,0.130634,182,1770993565.692272,1770993567.700415
600,3,135,True,1.948352,0.125141,182,1770993570.801409,1770993572.803281
800,0,0,False,,,,,
800,1,45,True,1.200000,0.000000,181,1770993716.282253,1770993718.282762
800,2,90,True,1.175138,0.065749,181,1770993721.384167,1770993723.385367
800,3,135,True,2.407143,0.061326,182,1770993726.486190,1770993728.494826
999,0,0,False,,,,,
999,1,45,True,1.132967,0.047139,182,1770993858.925662,1770993860.932874
999,2,90,True,1.103297,0.017904,182,1770993864.034423,1770993866.038226
999,3,135,True,1.789560,0.218864,182,1770993869.139247,1770993871.144241
