p,E_mean_MPa,E_std_MPa,n
1.5,0.0026604836481378207,0.0001139017062638059,3
2.0,0.006742793797989551,9.860737890390683e-05,3
2.5,0.022238571457405366,0.0007856711262496562,3
3.0,0.06497406333251737,0.0013860206899535736,3
