y*,E_mean_MPa,E_std_MPa,n
5.0,0.016166677892561293,0.00014038074513092043,3
10.0,0.007406394508243764,0.00010685878354953969,3
15.0,0.004899325575438999,0.00023722342331293486,3
20.0,0.0035203278165591746,6.147573330428889e-05,3
