direction,condition_index,xstar,E_mean_MPa,E_std_MPa,n
Z,1,5.0,4.001410017340661,0.1577904396251521,3
Z,2,10.0,1.1651939073241848,0.016762785163814853,3
Z,3,15.0,0.1738367951113399,0.015362567366807774,3
Z,4,20.0,0.05988399543322929,0.004153764430672801,3
