z*,E_mean_MPa,E_std_MPa,n
25.0,0.013268565545002881,0.00020190370979603474,3
30.0,0.006959351843484771,0.0001222591589000016,3
35.0,0.004218709716910826,0.00010730864384419502,3
40.0,0.002557516409581075,9.458806410824345e-05,3
