direction,condition_index,xstar,E_mean_MPa,E_std_MPa,n
Y,1,5.0,0.031006277169917818,0.001053785123953018,3
Y,2,10.0,0.014073563175869377,0.0005775229141845342,3
Y,3,15.0,0.009230520383449676,9.271397568499962e-05,3
Y,4,20.0,0.005816721961790845,0.00013149333955267856,3
