p,E_mean_MPa,E_std_MPa,n
1.5,0.0021260388701301674,9.76451835772415e-05,3
2.0,0.006847331932741527,0.00011262780519575598,3
2.5,0.024253893246999236,0.0008220365542974809,3
3.0,0.05918553789924704,0.002886482870701932,3
