,peak_stress_MPa,peak_stress_MPa,peak_stress_MPa,modulus_MPa,modulus_MPa,modulus_MPa,energy_loss_density_MJ_m3,energy_loss_density_MJ_m3,energy_loss_density_MJ_m3
,mean,std,count,mean,std,count,mean,std,count
cycle,,,,,,,,,
1,0.00989754994710286,0.0004585451624562403,3,0.01911001410818898,0.00020626878770511873,3,0.0004862878535914379,1.5203531456316799e-05,3
2,0.009525793570059319,0.0004154465084595497,3,0.017896544963747898,0.000512130746620181,3,0.0003235446505228409,8.81457189806138e-06,3
3,0.00936720106336806,0.0004692716654547163,3,0.01752168852936217,0.00041081780378515585,3,0.0003009868333487256,7.051984100097938e-06,3
4,0.009268124898274742,0.00042560698867774436,3,0.017349322906242814,0.0005011456231681994,3,0.0002878630367609859,6.4903300856857936e-06,3
5,0.009181234571668829,0.00044195802943812506,3,0.017187818353657063,0.00046075258842047037,3,0.000283987566927618,3.24709091569543e-06,3
6,0.009128076058846933,0.00042260911777069186,3,0.017084430159910586,0.0005519082789627672,3,0.00027643395344807177,6.116163186691458e-06,3
7,0.00907668360957394,0.0004451811850247134,3,0.016942302203685086,0.0005096007846238958,3,0.0002759892631085595,6.5280841960285536e-06,3
8,0.009039596275047022,0.00042733818894399915,3,0.016840578476730827,0.0006621800011832294,3,0.0002703981974895824,4.924586347713951e-06,3
9,0.008995621292679392,0.0004590148654801947,3,0.016795259981898843,0.00046384231710067564,3,0.00026814123409128597,4.674365077340256e-06,3
10,0.008969836764865452,0.0004359606121004645,3,0.016722639909473327,0.0006206744789884465,3,0.00026782052801799613,5.491405860833749e-06,3
11,0.008931689792209199,0.00045566811364319777,3,0.01668672376324634,0.0004608710852020055,3,0.00026454543527525484,5.212411704762742e-06,3
12,0.008893719425907836,0.00043869061213205315,3,0.0166667296667044,0.0005828502904998661,3,0.0002667575882040739,4.933149641458838e-06,3
13,0.008880120736581303,0.00047558878130434976,3,0.016578090079558922,0.0004970589779519329,3,0.00026302727948868116,6.3234014100144895e-06,3
14,0.008861223856608076,0.0004385212251918509,3,0.016524624055481923,0.0005425556018792945,3,0.00025986189743732786,5.939772605966737e-06,3
15,0.008835615935149007,0.0004669898490798296,3,0.016508219123848176,0.0005161802903883707,3,0.00026347994450624655,2.8786868033924496e-06,3
16,0.008807358918366608,0.0004486382995466513,3,0.016458356689236214,0.0005774667174811613,3,0.00026125029595008956,6.392640880132169e-06,3
17,0.008814069959852415,0.0004630424637056789,3,0.016406695323429667,0.0004571032161849938,3,0.00026123800034657965,2.7793374979328228e-06,3
18,0.008789521676522727,0.0004511876234649156,3,0.016386922977570703,0.0005591708235323907,3,0.00025836700243658475,5.323272816089201e-06,3
19,0.008785989549424904,0.00044581212695246955,3,0.0164087217553314,0.0005478005115719034,3,0.0002594541802483608,1.379945308869074e-06,3
20,0.0087739803172924,0.0004352405839913427,3,0.016292699282119908,0.0005906437183486599,3,0.0002573770905799269,2.037913954520323e-06,3
21,0.008748195789478443,0.0004494718819899993,3,0.016313342112811047,0.0005249432176689165,3,0.00025617465276831734,2.7239321499710707e-06,3
22,0.008725413569697629,0.0004158294416426685,3,0.016281291120537295,0.0006532819832378419,3,0.0002556912428551586,2.814738905400582e-06,3
23,0.008722764474374266,0.00045807303726954685,3,0.016262402867543768,0.0004999297957011754,3,0.00025857196579084853,2.2674782155273243e-06,3
24,0.008727886058666074,0.00043023178471950264,3,0.01622216908292543,0.0005492735416082656,3,0.00025500459638810196,1.8305584266972564e-06,3
25,0.00869327121310763,0.00044969218266338785,3,0.016174364426570057,0.0005478994511092482,3,0.0002519160569530029,4.609377179876565e-06,3
26,0.008674727545844193,0.00043845240639306404,3,0.016169493009403,0.000659923305305831,3,0.0002540860249338073,3.4946364996972325e-06,3
