,peak_stress_MPa,peak_stress_MPa,peak_stress_MPa,modulus_MPa,modulus_MPa,modulus_MPa,energy_loss_density_MJ_m3,energy_loss_density_MJ_m3,energy_loss_density_MJ_m3
,mean,std,count,mean,std,count,mean,std,count
cycle,,,,,,,,,
1,0.33698114408116747,0.010829903164002818,3,2.588364550248142,0.15535164935719206,3,0.013337613184297001,0.0008811102705733884,3
2,0.32403031174017477,0.01146220069886919,3,1.6734356656614693,0.08169472612397065,3,0.010156947803606138,0.0011817580453639264,3
3,0.31943223914321556,0.011033444309130258,3,1.6272350842816972,0.0629076786552672,3,0.009391431845465053,0.0009693273155232913,3
4,0.31537750140339327,0.011646923431425534,3,1.5936154110104137,0.07683848372002909,3,0.008838937512499666,0.001003049935597017,3
5,0.31247430918168023,0.011534778924634705,3,1.5257774418896595,0.1404166383065133,3,0.008543207926408648,0.0009576421973626289,3
6,0.3101874370964209,0.011207565034273084,3,1.5335876495003333,0.13373180892774644,3,0.008381270430830314,0.0009719271629421206,3
7,0.3086223083288495,0.011477045296738923,3,1.5509424306763615,0.1368210900242105,3,0.008214558469132766,0.0008777084188544719,3
8,0.3072599164482687,0.011861108015454418,3,1.560789781528251,0.13863543648499535,3,0.008068168066812086,0.0008552833014682894,3
9,0.30562991187686056,0.012268894036966557,3,1.5632914259113224,0.14083191219981606,3,0.007869777215596225,0.0009069295456817741,3
10,0.30521632862739795,0.012048082631082443,3,1.531372420376692,0.1801222436098526,3,0.00779971167338691,0.0008103813724422354,3
11,0.3038052798939401,0.012079286265875181,3,1.4769816544505998,0.0606427472513711,3,0.00768616205454029,0.0007992057234065276,3
12,0.3022685342905476,0.012245085767249276,3,1.4942562282823453,0.06291132480641044,3,0.007581796822308151,0.000780948323246635,3
13,0.3008372118683899,0.012789473292888586,3,1.5151400915151214,0.06812363546761015,3,0.007505870990846971,0.0007656487141630102,3
14,0.3000059906317262,0.0131469823796827,3,1.5345376941467528,0.06985261477536457,3,0.007384509352511296,0.0007586305013011618,3
15,0.29957618843130485,0.013111827566856851,3,1.4957897542857008,0.14844832763903304,3,0.007331511852403727,0.000752654990276196,3
16,0.29879767878525937,0.013061059250896304,3,1.518670076972688,0.15311930671923354,3,0.0072271244309626255,0.0007423494070880715,3
17,0.2977312827596858,0.012908448485042402,3,1.5435233508183488,0.15801650603332257,3,0.007193537209136458,0.0007222470872791612,3
18,0.2961418255656756,0.01304229636221576,3,1.4902366846737332,0.07855522866487284,3,0.0071013995886375315,0.0007844414945667375,3
19,0.29505110111366323,0.01354465523615224,3,1.5143704114168202,0.08207205857366383,3,0.007052087382771149,0.0007951078754160058,3
20,0.2946172441755021,0.01405607866302692,3,1.4738374608198608,0.07817118430322953,3,0.006965753801653092,0.0007581707032122501,3
21,0.29444289045269006,0.014019678354116976,3,1.4987208161339372,0.07795051484282174,3,0.006924012565949424,0.0007264366375684004,3
22,0.2940333619409681,0.014073884301890216,3,1.5216772029811623,0.0788404537396057,3,0.006857966830488297,0.0007237331842246764,3
23,0.29325485229492215,0.01393158795417613,3,1.4879602651950712,0.15550629423318055,3,0.006818254783613254,0.0007228122559332504,3
24,0.2922857699751042,0.013907746310102834,3,1.5144616548302061,0.15909356931398147,3,0.006760085568699993,0.0007188474704658366,3
25,0.2911666623589133,0.014088881061862166,3,1.4725113731851565,0.08802175390356652,3,0.00672140608180546,0.0007045452100709447,3
26,0.29094770652096297,0.014451578486213692,3,1.4369765302672632,0.07351513083481646,3,0.006677251185106058,0.000683003143874951,3
27,0.2907733527981505,0.014417446096800693,3,1.461547600003884,0.0756716189887678,3,0.0066424902431244034,0.0006998604339194009,3
28,0.2904692474676641,0.014338563430063444,3,1.4837171836231553,0.07479738958074575,3,0.006591363228468584,0.0007003238001080835,3
