,peak_stress_MPa,peak_stress_MPa,peak_stress_MPa,modulus_MPa,modulus_MPa,modulus_MPa,energy_loss_density_MJ_m3,energy_loss_density_MJ_m3,energy_loss_density_MJ_m3
,mean,std,count,mean,std,count,mean,std,count
cycle,,,,,,,,,
1,0.04184334366409865,0.02424527186776848,3,0.013053705680248218,0.0022329361532456736,3,0.001052870589821258,0.0006904491753797711,3
2,0.03950860765245225,0.021672255335973667,3,0.012089755577443378,0.0020131395759583957,3,0.0007578588742663785,0.0005236413367083593,3
3,0.03891980206524883,0.02132023698117506,3,0.011908146960226462,0.0019448689584488808,3,0.0006881527707131701,0.00047102581538271255,3
4,0.038528089170102676,0.02148537192301868,3,0.011920057373217295,0.0019586863253597546,3,0.0006459865388605985,0.00044971626768226287,3
5,0.03860473632812498,0.021067642784624325,3,0.011817006838538277,0.0018458330369983153,3,0.000625191812331245,0.00043702295992790004,3
6,0.037847448278356545,0.021540374908148988,3,0.011471683158635773,0.001934921914423254,3,0.0006056991128999909,0.000422405209566428,3
7,0.03695064120822486,0.020224251532216755,3,0.011626190053128987,0.0017078264693720544,3,0.0005887134175599405,0.00040472461631377727,3
8,0.03670939692744495,0.02016634073064889,3,0.011353348236066487,0.0018283589442492278,3,0.0005681525508191403,0.00038753071743785606,3
9,0.03703611868399165,0.02084537279576066,3,0.011407081658961754,0.0019309283884933507,3,0.0005635971925874115,0.0003884381852465891,3
10,0.03713325217918113,0.020929475158979916,3,0.011479454990400645,0.0018460096236067181,3,0.0005533815554384182,0.00037987880926165774,3
11,0.03710040339717154,0.020965641482634127,3,0.01138204703424694,0.0015737493879627539,3,0.0005444250579457846,0.00037196113404249685,3
12,0.037130426477502844,0.020851613963138078,3,0.011181843115543382,0.0017312859104548248,3,0.000537238789847571,0.00036890528624314154,3
13,0.036951700846354164,0.020701247140130465,3,0.011321138176790568,0.00156207052361015,3,0.0005329522944327252,0.0003572058676710702,3
14,0.036749309963650216,0.020556361859880478,3,0.011139993519156602,0.0013660958887775638,3,0.0005221238276077775,0.0003596946927683782,3
15,0.03653632269965273,0.020301693946337674,3,0.011275860629070072,0.0014898023191211474,3,0.0005140151106035382,0.0003527124441206105,3
16,0.03662321302625871,0.020570008364837494,3,0.011102442916789768,0.0019338901037702148,3,0.0005035776463249024,0.00034321466077289506,3
17,0.036740126433195956,0.020686172794114208,3,0.011369719348678238,0.0017058630557712925,3,0.0005024890635255632,0.00033940681693714857,3
18,0.036482634367766255,0.02096512934846569,3,0.011105425049645595,0.0015436137081564754,3,0.0005003877162365519,0.00033855469497124334,3
19,0.036377730192961526,0.02088922136278673,3,0.011110960708821246,0.0015340659374151946,3,0.0004945206176546335,0.00033245351767314667,3
20,0.035916081181279,0.020892356496098198,3,0.011091409594500648,0.0012851831218918782,3,0.0004891274158857055,0.0003331854723887167,3
21,0.036036526715313995,0.02055394756412193,3,0.010973995923737786,0.0016584679880932054,3,0.0004892403957241394,0.0003283078588675016,3
22,0.03574689229329434,0.02068896573282361,3,0.010922971615015686,0.001434805410864596,3,0.00048051728707448595,0.0003243923959821249,3
23,0.03581859447337967,0.02082376655885345,3,0.011043515696087275,0.0016240768335089252,3,0.00048006784803397945,0.00032521553797654516,3
24,0.03588641131365739,0.020843395673324525,3,0.011052584428782652,0.0016244421760523314,3,0.00048177674069452763,0.0003256893563960925,3
25,0.03589594805682151,0.02061904178564519,3,0.01116126650890155,0.0014833786345122342,3,0.0004740547445566368,0.00032188156977005047,3
26,0.03579492922182443,0.02050555999299895,3,0.011154399277021105,0.0014620884146441231,3,0.00046730892828796304,0.0003156227443197253,3
27,0.0356271531846788,0.020394271129201447,3,0.011097107864488422,0.001530288289118277,3,0.00046516118893731264,0.000309191938887503,3
