,peak_stress_MPa,peak_stress_MPa,peak_stress_MPa,modulus_MPa,modulus_MPa,modulus_MPa,energy_loss_density_MJ_m3,energy_loss_density_MJ_m3,energy_loss_density_MJ_m3
,mean,std,count,mean,std,count,mean,std,count
cycle,,,,,,,,,
1,0.3076653902222513,0.005004939377033252,3,1.4782199749173872,0.04169784660548135,3,0.02071434819824645,0.0008315581035944537,3
2,0.2952700569516135,0.006988828351787515,3,1.5084250064923763,0.012905342536735689,3,0.011442716103107091,0.0006421862464028079,3
3,0.2902624558429328,0.0071968979242930916,3,1.4843725487256887,0.012018867128875644,3,0.010675161995980934,0.0006133401212214909,3
4,0.2864064002523614,0.0070383298177012004,3,1.4701841209789126,0.012527423030373554,3,0.01026966666208974,0.0006117826997692111,3
5,0.28396544813298813,0.006530962943397996,3,1.465733354730302,0.013617912554268299,3,0.010107340742221433,0.0005984726899728246,3
6,0.28191375083663817,0.0066424883941646985,3,1.460037153033119,0.011560614619885062,3,0.009897519491844248,0.0005948705839267276,3
7,0.2802796915274898,0.007082730879692889,3,1.452934346319905,0.010273297220487946,3,0.009737877983557339,0.0005930320196817926,3
8,0.2789943396639664,0.007773801524250625,3,1.4529908099283484,0.015993885791645054,3,0.009640478413141957,0.0005702563211281606,3
9,0.2777414257023614,0.007642130852873757,3,1.4461500135711545,0.015267146498377534,3,0.00959946723409018,0.0005960757105394081,3
10,0.2763263222311629,0.007534297377440746,3,1.43948113063927,0.015000623038489008,3,0.009474232500254623,0.0005854583672453104,3
11,0.27514233881113476,0.007148304840485858,3,1.4388250887038778,0.013757117006740201,3,0.009401011549957872,0.0005815899024347227,3
12,0.2748017408409898,0.006289768727195694,3,1.4358058965111242,0.012234194058709213,3,0.009354147035580374,0.0006065147123091637,3
13,0.27402728593268366,0.0073216068265112375,3,1.4313782987630166,0.012745430024011462,3,0.009289793834450643,0.0005709575594358273,3
14,0.27367046901157904,0.007023492836570795,3,1.4334369301546792,0.015225129699696489,3,0.00927251902995116,0.0006112594882425881,3
15,0.2728068098729966,0.007106680665309553,3,1.4290971426069594,0.016325783657759572,3,0.009228545176681929,0.0005431429634463543,3
16,0.27178096122482187,0.007014906054980812,3,1.4232777429691463,0.016214751305784047,3,0.009182851018630152,0.0005665949064793982,3
17,0.2708889189220612,0.0066712290868990555,3,1.4239668277901982,0.014977824504475669,3,0.009128882638810868,0.0005542620526179017,3
18,0.270203668244031,0.0064077699281877825,3,1.4221577596268002,0.014167007301964416,3,0.00912488805324373,0.0005674423041424639,3
19,0.26956301968113905,0.00687476449233444,3,1.4181829201077178,0.011095513572756332,3,0.009059925848080663,0.000571226146697868,3
20,0.2687926195105727,0.007339739494350365,3,1.4207493365161017,0.017250117676223697,3,0.009040674574864894,0.0005548842745090299,3
21,0.2680789856683639,0.007314985128316267,3,1.4159399166074256,0.01755011444139274,3,0.009044881881182932,0.0005404104715709092,3
22,0.2687236889689962,0.008027360832090007,3,1.4095311036798555,0.017541329186888756,3,0.009040114414243192,0.000491877593097039,3
23,0.26778298981335713,0.007625487095970516,3,1.4124084012969054,0.015184852445602814,3,0.008993077258467689,0.0005173964097254697,3
24,0.26764918346794303,0.006751379425013706,3,1.410685462167913,0.014671318913621072,3,0.00893091469491128,0.0006023391593603333,3
25,0.26726398338265983,0.0071903808863380235,3,1.407113921390973,0.01251646289212979,3,0.008915121981742387,0.0005425941859105494,3
26,0.2665868421801097,0.007612662933267131,3,1.4103526456465332,0.019334116389898192,3,0.008951529118660545,0.0005650658473886561,3
27,0.26587320833790096,0.007695045132185513,3,1.405552482740479,0.018702230805123166,3,0.00889779610133433,0.0005149919074827636,3
28,0.2652244502995289,0.007569643704698509,3,1.400614710140858,0.01787116640440084,3,0.008846470439708593,0.0005057627469173972,3
