condition,metric,mean@1,std@1,mean@999,std@999,retention(999/1)
B,peak_stress_MPa,0.014655501754195598,0.0003221549708550717,0.011367091426142948,0.0002767265482403129,0.7756193965101714
B,modulus_MPa,0.029258285058722664,0.0006496475507451928,0.024402280627602482,0.0009792556002307796,0.8340297655390955
B,energy_loss_density_MJ_m3,0.000588003380797027,2.2387370760431038e-05,0.00025660615270776916,4.2415650650134377e-05,0.4364025124480485
