cycle,step_index,angle_deg,measured,force_mean,force_std,n_samples,t_measure_start_unix,t_measure_end_unix
1,0,0,False,,,,,
1,1,15,True,13.433516,0.471658,182,1770967292.244713,1770967294.253312
1,2,30,True,27.297238,1.407931,181,1770967297.354532,1770967299.359055
1,3,0,False,,,,,
1,4,-15,True,17.606630,0.498621,181,1770967307.516559,1770967309.519403
1,5,-30,True,26.220330,0.622394,182,1770967312.621044,1770967314.630979
5,0,0,False,,,,,
5,1,15,True,11.957692,0.225259,182,1770967329.532072,1770967331.539978
5,2,30,True,28.139227,1.175990,181,1770967334.641399,1770967336.651079
5,3,0,False,,,,,
5,4,-15,True,17.098895,0.537793,181,1770967344.808625,1770967346.809356
5,5,-30,True,25.513333,0.810435,180,1770967349.910933,1770967351.914561
10,0,0,False,,,,,
10,1,15,True,11.206630,0.791946,181,1770967365.837443,1770967367.838501
10,2,30,True,26.480220,0.680708,182,1770967370.939964,1770967372.948642
10,3,0,False,,,,,
10,4,-15,True,19.301099,0.305202,182,1770967381.105139,1770967383.106036
10,5,-30,True,26.791209,0.190462,182,1770967386.207599,1770967388.214294
15,0,0,False,,,,,
15,1,15,True,10.267582,0.531228,182,1770967403.207364,1770967405.214469
15,2,30,True,28.689011,1.436344,182,1770967408.316132,1770967410.323207
15,3,0,False,,,,,
15,4,-15,True,17.235714,0.188302,182,1770967418.480487,1770967420.483127
15,5,-30,True,26.603297,0.310569,182,1770967423.584504,1770967425.594278
20,0,0,False,,,,,
20,1,15,True,10.176796,0.668259,181,1770967442.792930,1770967444.793657
20,2,30,True,25.429670,1.588703,182,1770967447.894779,1770967449.902022
20,3,0,False,,,,,
20,4,-15,True,17.280110,0.501600,181,1770967458.059280,1770967460.066505
20,5,-30,True,24.652747,0.713150,182,1770967463.168136,1770967465.170061
40,0,0,False,,,,,
40,1,15,True,9.856593,0.363281,182,1770967492.883012,1770967494.886765
40,2,30,True,19.902747,0.717225,182,1770967497.988533,1770967499.996545
40,3,0,False,,,,,
40,4,-15,True,18.092308,0.324244,182,1770967508.153877,1770967510.160816
40,5,-30,True,26.648619,0.442293,181,1770967513.261899,1770967515.266714
60,0,0,False,,,,,
60,1,15,True,8.374586,0.347236,181,1770967539.308384,1770967541.310067
60,2,30,True,25.891209,1.243649,182,1770967544.411532,1770967546.419234
60,3,0,False,,,,,
60,4,-15,True,18.023626,0.176967,182,1770967554.572022,1770967556.579156
60,5,-30,True,23.973626,0.361652,182,1770967559.680355,1770967561.684144
80,0,0,False,,,,,
80,1,15,True,9.540659,0.098022,182,1770967582.995868,1770967585.005415
80,2,30,True,26.005525,0.252922,181,1770967588.106692,1770967590.107845
80,3,0,False,,,,,
80,4,-15,True,17.639779,0.478966,181,1770967598.264143,1770967600.266571
80,5,-30,True,26.812088,0.584862,182,1770967603.367936,1770967605.378005
100,0,0,False,,,,,
100,1,15,True,8.483425,0.351112,181,1770967630.223601,1770967632.225196
100,2,30,True,23.803333,0.919673,180,1770967635.326578,1770967637.327873
100,3,0,False,,,,,
100,4,-15,True,16.632418,0.766490,182,1770967645.484665,1770967647.495275
100,5,-30,True,23.297253,0.432701,182,1770967650.596951,1770967652.604726
200,0,0,False,,,,,
200,1,15,True,8.882320,0.161304,181,1770967756.972312,1770967758.973311
200,2,30,True,20.304396,0.615529,182,1770967762.074970,1770967764.081301
200,3,0,False,,,,,
200,4,-15,True,18.324725,0.661234,182,1770967772.238018,1770967774.246926
200,5,-30,True,27.613736,0.581462,182,1770967777.348018,1770967779.353304
400,0,0,False,,,,,
400,1,15,True,9.157692,0.224522,182,1770967856.731655,1770967858.740367
400,2,30,True,25.856044,0.959190,182,1770967861.841640,1770967863.849706
400,3,0,False,,,,,
400,4,-15,True,16.176796,0.506966,181,1770967872.006839,1770967874.010630
400,5,-30,True,25.619890,0.255478,181,1770967877.112088,1770967879.114153
600,0,0,False,,,,,
600,1,15,True,8.159890,0.276294,182,1770967973.583174,1770967975.584789
600,2,30,True,23.386264,0.961053,182,1770967978.686126,1770967980.692384
600,3,0,False,,,,,
600,4,-15,True,17.595604,0.591358,182,1770967988.849153,1770967990.856828
600,5,-30,True,22.732967,0.423366,182,1770967993.957963,1770967995.962032
800,0,0,False,,,,,
800,1,15,True,8.153297,0.144379,182,1770968101.522141,1770968103.530039
800,2,30,True,26.213736,0.510420,182,1770968106.631582,1770968108.636391
800,3,0,False,,,,,
800,4,-15,True,15.994475,0.259213,181,1770968116.793347,1770968118.793820
800,5,-30,True,24.331492,0.569554,181,1770968121.895342,1770968123.898259
999,0,0,False,,,,,
999,1,15,True,9.070879,0.145952,182,1770968208.667145,1770968210.676358
999,2,30,True,24.667403,0.520457,181,1770968213.777742,1770968215.778644
999,3,0,False,,,,,
999,4,-15,True,15.006593,0.351572,182,1770968223.936311,1770968225.940175
999,5,-30,True,24.063187,0.281112,182,1770968229.041718,1770968231.049641
