time[s],MF(L),MD(L),MB(L),MA(L),ME(L),MC(L),MF(R),MD(R),MB(R),MA(R),ME(R),MC(R)
1751249044.256978,1.0151456594467163,0.08388058096170425,0.3107394278049469,0.6214788556098938,0.5128154158592224,0.07244232296943665,0.9350778460502625,-3.4924824237823486,0.1849185675382614,0.20588870346546173,-2.278120517730713,0.19159087538719177
1751249044.269102,1.0151456594467163,0.08388058096170425,0.3107394278049469,0.6214788556098938,0.5128154158592224,0.07244232296943665,0.9350778460502625,-3.4924824237823486,0.1849185675382614,0.20588870346546173,-2.278120517730713,0.19159087538719177
1751249044.2810118,1.0151456594467163,0.08388058096170425,0.3107394278049469,0.6214788556098938,0.5128154158592224,0.07244232296943665,0.9350778460502625,-3.4924824237823486,0.1849185675382614,0.20588870346546173,-2.278120517730713,0.19159087538719177
1751249044.2909303,1.0151456594467163,0.08388058096170425,0.3107394278049469,0.6214788556098938,0.5128154158592224,0.07244232296943665,0.9350778460502625,-3.4924824237823486,0.1849185675382614,0.20588870346546173,-2.278120517730713,0.19159087538719177
1751249044.3030164,1.0151456594467163,0.08388058096170425,0.3107394278049469,0.6214788556098938,0.5128154158592224,0.07244232296943665,0.9350778460502625,-3.4924824237823486,0.1849185675382614,0.20588870346546173,-2.278120517730713,0.19159087538719177
1751249044.3149412,1.0151456594467163,0.08388058096170425,0.3107394278049469,0.6214788556098938,0.5128154158592224,0.07244232296943665,0.9350778460502625,-3.4924824237823486,0.1849185675382614,0.20588870346546173,-2.278120517730713,0.19159087538719177
1751249044.3269804,1.0151456594467163,0.08388058096170425,0.3107394278049469,0.6214788556098938,0.5128154158592224,0.07244232296943665,0.9350778460502625,-3.4924824237823486,0.1849185675382614,0.20588870346546173,-2.278120517730713,0.19159087538719177
1751249044.3389452,1.0151456594467163,0.08388058096170425,0.3107394278049469,0.6214788556098938,0.5128154158592224,0.07244232296943665,0.9350778460502625,-3.4924824237823486,0.1849185675382614,0.20588870346546173,-2.278120517730713,0.19159087538719177
1751249044.3489022,1.0151456594467163,0.08388058096170425,0.3107394278049469,0.6214788556098938,0.5128154158592224,0.07244232296943665,0.9350778460502625,-3.4924824237823486,0.1849185675382614,0.20588870346546173,-2.278120517730713,0.19159087538719177
1751249044.3609061,1.0151456594467163,0.08388058096170425,0.3107394278049469,0.6214788556098938,0.5128154158592224,0.07244232296943665,0.9350778460502625,-3.4924824237823486,0.1849185675382614,0.20588870346546173,-2.278120517730713,0.19159087538719177
1751249044.3729107,1.0151456594467163,0.08388058096170425,0.3107394278049469,0.6214788556098938,0.5128154158592224,0.07244232296943665,0.9350778460502625,-3.4924824237823486,0.1849185675382614,0.20588870346546173,-2.278120517730713,0.19159087538719177
1751249044.3849592,1.0151456594467163,0.08388058096170425,0.3107394278049469,0.6214788556098938,0.5128154158592224,0.07244232296943665,0.9350778460502625,-3.4924824237823486,0.1849185675382614,0.20588870346546173,-2.278120517730713,0.19159087538719177
1751249044.3969252,1.0151456594467163,0.08388058096170425,0.3107394278049469,0.6214788556098938,0.5128154158592224,0.07244232296943665,0.9350778460502625,-3.4924824237823486,0.1849185675382614,0.20588870346546173,-2.278120517730713,0.19159087538719177
1751249044.408927,1.0151456594467163,0.08388058096170425,0.3107394278049469,0.6214788556098938,0.5128154158592224,0.07244232296943665,0.9350778460502625,-3.4924824237823486,0.1849185675382614,0.20588870346546173,-2.278120517730713,0.19159087538719177
1751249044.4209144,1.0151456594467163,0.08388058096170425,0.3107394278049469,0.6214788556098938,0.5128154158592224,0.07244232296943665,0.9350778460502625,-3.4924824237823486,0.1849185675382614,0.20588870346546173,-2.278120517730713,0.19159087538719177
1751249044.4329822,1.0151456594467163,0.08388058096170425,0.3107394278049469,0.6214788556098938,0.5128154158592224,0.07244232296943665,0.9350778460502625,-3.4924824237823486,0.1849185675382614,0.20588870346546173,-2.278120517730713,0.19159087538719177
1751249044.44293,1.0151456594467163,0.08388058096170425,0.3107394278049469,0.6214788556098938,0.5128154158592224,0.07244232296943665,0.9350778460502625,-3.4924824237823486,0.1849185675382614,0.20588870346546173,-2.278120517730713,0.19159087538719177
1751249044.4529176,1.0151456594467163,0.08388058096170425,0.3107394278049469,0.6214788556098938,0.5128154158592224,0.07244232296943665,0.9350778460502625,-3.4924824237823486,0.1849185675382614,0.20588870346546173,-2.278120517730713,0.19159087538719177
1751249044.4649098,1.0151456594467163,0.08388058096170425,0.3107394278049469,0.6214788556098938,0.5128154158592224,0.07244232296943665,0.9350778460502625,-3.4924824237823486,0.1849185675382614,0.20588870346546173,-2.278120517730713,0.19159087538719177
1751249044.4768927,1.0151456594467163,0.08388058096170425,0.3107394278049469,0.6214788556098938,0.5128154158592224,0.07244232296943665,0.9350778460502625,-3.4924824237823486,0.1849185675382614,0.20588870346546173,-2.278120517730713,0.19159087538719177
1751249044.4889035,1.0151456594467163,0.08388058096170425,0.3107394278049469,0.6214788556098938,0.5128154158592224,0.07244232296943665,0.9350778460502625,-3.4924824237823486,0.1849185675382614,0.20588870346546173,-2.278120517730713,0.19159087538719177
